pair	disease1	disease2	exposure	classification
HF_sleep_apnoea	HF	sleep_apnoea	BMI	NO_DUAL_OUTCOME_SUPPORT
HF_sleep_apnoea	HF	sleep_apnoea	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
gout_sleep_apnoea	gout	sleep_apnoea	BMI	NO_DUAL_OUTCOME_SUPPORT
gout_sleep_apnoea	gout	sleep_apnoea	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
HF_OA	HF	OA	BMI	NO_DUAL_OUTCOME_SUPPORT
HF_OA	HF	OA	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
diabetes_type_2_OA	diabetes_type_2	OA	BMI	NO_DUAL_OUTCOME_SUPPORT
diabetes_type_2_OA	diabetes_type_2	OA	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
alc_problems_COPD	alc_problems	COPD	BMI	NO_DUAL_OUTCOME_SUPPORT
alc_problems_COPD	alc_problems	COPD	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
alc_problems_fibromyalgia	alc_problems	fibromyalgia	BMI	NO_DUAL_OUTCOME_SUPPORT
alc_problems_fibromyalgia	alc_problems	fibromyalgia	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
COPD_gastritis_duodenitis	COPD	gastritis_duodenitis	BMI	NO_DUAL_OUTCOME_SUPPORT
COPD_gastritis_duodenitis	COPD	gastritis_duodenitis	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
alc_problems_insomnia	alc_problems	insomnia	BMI	NO_DUAL_OUTCOME_SUPPORT
alc_problems_insomnia	alc_problems	insomnia	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
hypertension_valve_nonrheumatic	hypertension	valve_nonrheumatic	BMI	NO_DUAL_OUTCOME_SUPPORT
hypertension_valve_nonrheumatic	hypertension	valve_nonrheumatic	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
coronary_heart_HF	coronary_heart	HF	BMI	NO_DUAL_OUTCOME_SUPPORT
coronary_heart_HF	coronary_heart	HF	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
diabetes_type_2_periph_neuro	diabetes_type_2	periph_neuro	BMI	NO_DUAL_OUTCOME_SUPPORT
diabetes_type_2_periph_neuro	diabetes_type_2	periph_neuro	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
carpal_tunnel_diabetes_type_2	carpal_tunnel	diabetes_type_2	BMI	NO_DUAL_OUTCOME_SUPPORT
carpal_tunnel_diabetes_type_2	carpal_tunnel	diabetes_type_2	SMK	CONCORDANT_DUAL_OUTCOME_SUPPORT
