exposure	condition.1	condition.2	rg	rg.SE	partial_rg	partial_rg.SE	diff.T	diff.P	q	delta_rg	prop_atten	prop_atten_flag	class
ApoB	AAA	allergic_rhinitis	0.059205	0.060789	0.056870	0.060682	0.299314	0.764700	0.949665			unstable_baseline	F_unstable_lowpower
ApoB	AAA	anxiety	0.191920	0.043581	0.203846	0.044673	-1.787954	0.073783	0.265087	-0.011926	-0.062140	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	asthma	0.113431	0.049221	0.115404	0.049574	-0.386441	0.699170	0.930189	-0.001973	-0.017390	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	b12_def	0.132171	0.092931	0.123552	0.094010	0.758465	0.448173	0.765523			unstable_baseline	F_unstable_lowpower
ApoB	AAA	bursitis	0.019100	0.083113	0.014559	0.085385	0.382112	0.702378	0.931797			unstable_baseline	F_unstable_lowpower
ApoB	AAA	carpal_tunnel	0.051948	0.039797	0.043873	0.040350	1.486407	0.137171	0.400868			unstable_baseline	F_unstable_lowpower
ApoB	AAA	cataract	0.098883	0.054147	0.104095	0.055199	-0.857673	0.391073	0.712998			unstable_baseline	F_unstable_lowpower
ApoB	AAA	cholelithiasis	0.135919	0.068554	0.140119	0.068446	-0.499400	0.617498	0.885193			unstable_baseline	A_persistent
ApoB	AAA	coronary_heart	0.271181	0.043308	0.255776	0.043449	2.210143	0.027095	0.124727	0.015405	0.056807	OK	A_persistent
ApoB	AAA	deaf	0.066298	0.045510	0.064638	0.046808	0.306660	0.759102	0.948322			unstable_baseline	F_unstable_lowpower
ApoB	AAA	depression	0.157582	0.048192	0.162079	0.049327	-0.846510	0.397268	0.719105	-0.004497	-0.028538	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	diabetes_type_2	0.163058	0.045805	0.155200	0.045454	1.338771	0.180645	0.471537	0.007857	0.048188	OK	A_persistent
ApoB	AAA	diverticuli	0.133721	0.039498	0.133434	0.040648	0.055860	0.955453	0.987509	0.000287	0.002146	OK	A_persistent
ApoB	AAA	enthesopathy_lower	0.268572	0.074914	0.286727	0.074346	-1.469428	0.141717	0.408230	-0.018155	-0.067600	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	enthesopathy_shoulder	0.150054	0.065397	0.141742	0.063936	1.227485	0.219640	0.525572	0.008312	0.055392	OK	A_persistent
ApoB	AAA	enthesopathy_upper	0.116227	0.066258	0.095480	0.065146	2.668446	0.007620	0.043936			unstable_baseline	F_unstable_lowpower
ApoB	AAA	essential_tremor	0.097881	0.082543	0.096552	0.084525	0.111298	0.911380	0.975428			unstable_baseline	F_unstable_lowpower
ApoB	AAA	female_genital_prolapse	0.088912	0.044362	0.087589	0.046285	0.198782	0.842434	0.963317	0.001323	0.014884	OK	A_persistent
ApoB	AAA	fibromatosis	0.045241	0.055850	0.042355	0.056190	0.377323	0.705934	0.933689			unstable_baseline	F_unstable_lowpower
ApoB	AAA	fibromyalgia	0.192703	0.082273	0.198933	0.084412	-0.573983	0.565979	0.855250	-0.006230	-0.032328	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	gastritis_duodenitis	0.119792	0.054950	0.106042	0.056689	1.649910	0.098961	0.325218	0.013750	0.114780	OK	A_persistent
ApoB	AAA	glaucoma	0.007908	0.045542	0.011852	0.047126	-0.690222	0.490055	0.800648			unstable_baseline	F_unstable_lowpower
ApoB	AAA	gout	0.175541	0.047075	0.165333	0.047186	1.607949	0.107846	0.344102	0.010208	0.058152	OK	A_persistent
ApoB	AAA	hypertension	0.307108	0.056364	0.334001	0.058017	-3.189046	0.001427	0.010357	-0.026893	-0.087569	FLAG_OUT_OF_RANGE	D_masked
ApoB	AAA	hyperthyroid	0.275040	0.068675	0.282396	0.069722	-0.762061	0.446024	0.763603	-0.007357	-0.026748	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	hypothyroid	0.057118	0.072737	0.061281	0.072442	-0.642625	0.520468	0.824936			unstable_baseline	F_unstable_lowpower
ApoB	AAA	insomnia	0.291569	0.095476	0.305040	0.098366	-0.931104	0.351800	0.673428	-0.013470	-0.046200	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	intervert_disc	0.170119	0.046540	0.165690	0.047310	0.731205	0.464654	0.779477	0.004430	0.026039	OK	A_persistent
ApoB	AAA	isch_stroke_tia	0.284030	0.080425	0.301263	0.083183	-1.362148	0.173151	0.459701	-0.017233	-0.060675	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	migraine	0.253617	0.045618	0.248203	0.046617	0.895044	0.370764	0.692135	0.005414	0.021346	OK	A_persistent
ApoB	AAA	osteoporosis	0.031851	0.060303	0.042412	0.060973	-1.338020	0.180890	0.471928			unstable_baseline	F_unstable_lowpower
ApoB	AAA	periph_neuro	0.269234	0.072718	0.257673	0.075014	1.142964	0.253054	0.567629	0.011561	0.042940	OK	A_persistent
ApoB	AAA	peripheral_arterial	0.462975	0.091432	0.446303	0.090325	1.637342	0.101559	0.331345	0.016672	0.036010	OK	A_persistent
ApoB	AAA	pri_bladder	0.017928	0.124614	0.033120	0.123623	-1.142327	0.253318	0.567880			unstable_baseline	F_unstable_lowpower
ApoB	AAA	pri_breast	-0.039832	0.039286	-0.045802	0.040151	1.145306	0.252082	0.567071			unstable_baseline	F_unstable_lowpower
ApoB	AAA	pri_colorectal	-0.067122	0.072163	-0.093485	0.075149	2.328043	0.019910	0.097266			unstable_baseline	F_unstable_lowpower
ApoB	AAA	pri_prost	0.003997	0.058549	-0.015125	0.059203	1.977710	0.047961	0.194269			unstable_baseline	F_unstable_lowpower
ApoB	AAA	pri_skin	-0.088431	0.044897	-0.091980	0.045520	0.513163	0.607837	0.879376			unstable_baseline	A_persistent
ApoB	AAA	psoriasis	0.131094	0.061247	0.130310	0.062033	0.097186	0.922579	0.978284	0.000784	0.005983	OK	A_persistent
ApoB	AAA	raynauds	-0.034442	0.092603	-0.014788	0.093510	-1.388941	0.164851	0.445680			unstable_baseline	F_unstable_lowpower
ApoB	AAA	retinal_detach	0.080465	0.066988	0.091727	0.067247	-1.115773	0.264519	0.580083			unstable_baseline	F_unstable_lowpower
ApoB	AAA	schizo	0.032530	0.035725	0.034156	0.037007	-0.365291	0.714894	0.937391			unstable_baseline	F_unstable_lowpower
ApoB	AAA	scoliosis	0.115047	0.070811	0.113110	0.072591	0.165704	0.868390	0.967618			unstable_baseline	F_unstable_lowpower
ApoB	AAA	sinusitis	0.179935	0.085639	0.201760	0.087411	-1.508382	0.131457	0.390364	-0.021825	-0.121291	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	sleep_apnoea	0.304854	0.056309	0.298634	0.056182	1.053994	0.291886	0.610039	0.006220	0.020404	OK	A_persistent
ApoB	AAA	spondylolisthesis	0.322992	0.092607	0.321230	0.093786	0.156684	0.875494	0.967723	0.001763	0.005457	OK	A_persistent
ApoB	AAA	spondylosis	0.267850	0.072226	0.261755	0.071690	0.791442	0.428686	0.747918	0.006095	0.022757	OK	A_persistent
ApoB	AAA	stroke_all	0.351592	0.082844	0.365161	0.081654	-1.226839	0.219883	0.525815	-0.013569	-0.038593	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	tendon	0.172902	0.067095	0.160228	0.065887	1.855318	0.063551	0.238136	0.012674	0.073304	OK	A_persistent
ApoB	AAA	thromboembolic	0.289801	0.067270	0.302370	0.066751	-1.412711	0.157741	0.435459	-0.012569	-0.043370	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	tinnitus	-0.018102	0.116919	-0.002181	0.114073	-1.477015	0.139672	0.404291			unstable_baseline	F_unstable_lowpower
ApoB	AAA	ulc_colitis	-0.064464	0.043886	-0.056566	0.044498	-1.285355	0.198668	0.497004			unstable_baseline	F_unstable_lowpower
ApoB	AAA	ulcer_peptic	0.312152	0.074249	0.303981	0.075115	0.802276	0.422393	0.743377	0.008171	0.026177	OK	A_persistent
ApoB	AAA	urine_incont	0.175965	0.068705	0.185468	0.070497	-0.979811	0.327179	0.648099	-0.009503	-0.054006	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	urolithiasis	0.105824	0.055975	0.095308	0.057270	1.486865	0.137051	0.400593			unstable_baseline	F_unstable_lowpower
ApoB	AAA	valve_nonrheumatic	0.228615	0.064555	0.238000	0.062955	-0.953817	0.340176	0.662318	-0.009385	-0.041050	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	BPH	0.112158	0.029246	0.108306	0.029371	1.306407	0.191414	0.485950	0.003852	0.034344	OK	A_persistent
ApoB	AF	CKD	0.124315	0.029242	0.125176	0.029801	-0.238482	0.811507	0.958838	-0.000861	-0.006930	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	COPD	0.119614	0.024643	0.126049	0.024575	-2.017965	0.043595	0.180606	-0.006436	-0.053804	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	ED	0.221343	0.045646	0.221331	0.045471	0.002435	0.998057	1.000000	0.000012	0.000052	OK	A_persistent
ApoB	AF	GORD	0.160802	0.024178	0.170686	0.024101	-2.817395	0.004841	0.029866	-0.009884	-0.061467	FLAG_OUT_OF_RANGE	D_masked
ApoB	AF	HF	0.594677	0.026848	0.593667	0.026756	0.440912	0.659277	0.908066	0.001010	0.001699	OK	A_persistent
ApoB	AF	IBS	0.042208	0.028853	0.038592	0.028714	1.128799	0.258983	0.573679			unstable_baseline	F_unstable_lowpower
ApoB	AF	IDA	0.144287	0.036251	0.149236	0.035857	-1.046643	0.295264	0.613147	-0.004949	-0.034297	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	OA	0.183444	0.023393	0.186345	0.023170	-1.144455	0.252435	0.567351	-0.002901	-0.015814	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	PMR	0.134367	0.053481	0.136566	0.053959	-0.402495	0.687320	0.924237	-0.002199	-0.016368	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	RA	0.162076	0.029535	0.163367	0.029359	-0.360873	0.718195	0.938006	-0.001290	-0.007961	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	TIA	0.338875	0.041429	0.344220	0.040746	-0.947909	0.343176	0.665983	-0.005345	-0.015773	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	alc_problems	0.125193	0.038475	0.127139	0.038255	-0.511830	0.608770	0.880043	-0.001946	-0.015543	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	allergic_rhinitis	0.065653	0.035880	0.067627	0.036270	-0.553547	0.579889	0.863406			unstable_baseline	F_unstable_lowpower
ApoB	AF	anxiety	0.116098	0.028979	0.113932	0.028649	0.850570	0.395008	0.716754	0.002165	0.018652	OK	A_persistent
ApoB	AF	asthma	0.119943	0.023179	0.120983	0.022902	-0.470826	0.637765	0.897252	-0.001040	-0.008672	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	b12_def	0.055460	0.050773	0.060981	0.051316	-1.063104	0.287735	0.605950			unstable_baseline	F_unstable_lowpower
ApoB	AF	bursitis	0.139178	0.054161	0.141992	0.054251	-0.551066	0.581589	0.865072	-0.002814	-0.020218	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	carpal_tunnel	0.088642	0.025219	0.093119	0.024866	-1.751024	0.079942	0.281249	-0.004477	-0.050509	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	cataract	0.118439	0.027822	0.117961	0.028188	0.180525	0.856741	0.965679	0.000477	0.004028	OK	A_persistent
ApoB	AF	cholelithiasis	0.156544	0.024619	0.157084	0.024720	-0.153471	0.878027	0.968369	-0.000540	-0.003447	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	coronary_heart	0.263374	0.019245	0.276173	0.019998	-3.297081	0.000977	0.007443	-0.012799	-0.048597	FLAG_OUT_OF_RANGE	D_masked
ApoB	AF	deaf	-0.001961	0.025101	-0.000522	0.025135	-0.635863	0.524866	0.828034			unstable_baseline	F_unstable_lowpower
ApoB	AF	depression	0.108036	0.023518	0.108464	0.023272	-0.226181	0.821061	0.960610	-0.000428	-0.003965	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	diabetes_type_2	0.167054	0.020600	0.173323	0.020518	-2.060854	0.039317	0.166349	-0.006269	-0.037529	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	diverticuli	0.111756	0.019618	0.113953	0.019512	-0.998134	0.318214	0.638313	-0.002197	-0.019655	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	enthesopathy_lower	0.114954	0.043180	0.111207	0.042775	0.823411	0.410274	0.731197	0.003747	0.032596	OK	A_persistent
ApoB	AF	enthesopathy_shoulder	0.053480	0.026497	0.059079	0.026479	-1.551652	0.120746	0.370970	-0.005599	-0.104701	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	enthesopathy_upper	0.075329	0.029736	0.086355	0.030130	-2.646555	0.008132	0.046471	-0.011026	-0.146377	FLAG_OUT_OF_RANGE	D_masked
ApoB	AF	essential_tremor	0.035167	0.051832	0.037013	0.051400	-0.361652	0.717612	0.938150			unstable_baseline	F_unstable_lowpower
ApoB	AF	female_genital_prolapse	0.090953	0.024668	0.092967	0.024665	-0.728506	0.466304	0.781014	-0.002014	-0.022140	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	fibromatosis	-0.024540	0.029562	-0.022941	0.029466	-0.501487	0.616029	0.884873			unstable_baseline	F_unstable_lowpower
ApoB	AF	fibromyalgia	0.100954	0.045975	0.101025	0.046103	-0.016539	0.986805	0.996496	-0.000071	-0.000706	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	gastritis_duodenitis	0.069201	0.036976	0.076962	0.037623	-1.823980	0.068155	0.250294			unstable_baseline	A_persistent
ApoB	AF	glaucoma	-0.000244	0.026794	-0.001802	0.026711	0.662216	0.507833	0.814608			unstable_baseline	F_unstable_lowpower
ApoB	AF	gout	0.205640	0.022490	0.213482	0.023157	-2.386799	0.016996	0.085553	-0.007842	-0.038135	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	hypertension	0.382417	0.023227	0.377964	0.022937	2.057744	0.039615	0.167277	0.004453	0.011645	OK	A_persistent
ApoB	AF	hyperthyroid	0.173386	0.041188	0.174266	0.040737	-0.214227	0.830370	0.960721	-0.000881	-0.005078	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	hypothyroid	0.099149	0.020495	0.098542	0.020345	0.218702	0.826882	0.960188	0.000607	0.006123	OK	A_persistent
ApoB	AF	insomnia	0.098440	0.044996	0.096658	0.045496	0.317766	0.750662	0.946341	0.001783	0.018109	OK	A_persistent
ApoB	AF	intervert_disc	0.137876	0.027363	0.142478	0.027594	-1.500988	0.133359	0.393193	-0.004602	-0.033380	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	isch_stroke_tia	0.451575	0.053544	0.450217	0.054345	0.324369	0.745659	0.945389	0.001358	0.003008	OK	A_persistent
ApoB	AF	migraine	0.080831	0.026451	0.086634	0.026110	-1.903073	0.057031	0.220808	-0.005803	-0.071788	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	osteoporosis	0.058087	0.028161	0.054379	0.027949	1.090318	0.275573	0.592986	0.003708	0.063839	OK	A_persistent
ApoB	AF	periph_neuro	0.177875	0.046800	0.187661	0.047382	-1.702345	0.088691	0.302396	-0.009786	-0.055014	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	peripheral_arterial	0.259290	0.047300	0.277623	0.047570	-2.152490	0.031359	0.140324	-0.018334	-0.070707	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	pri_bladder	0.107889	0.055705	0.102493	0.055881	1.000765	0.316940	0.637214			unstable_baseline	F_unstable_lowpower
ApoB	AF	pri_breast	0.041828	0.023350	0.044074	0.023555	-1.018051	0.308654	0.628950			unstable_baseline	F_unstable_lowpower
ApoB	AF	pri_colorectal	-0.020508	0.040835	-0.010624	0.041375	-2.063094	0.039104	0.165730			unstable_baseline	F_unstable_lowpower
ApoB	AF	pri_prost	-0.018202	0.029803	-0.010316	0.030334	-2.053360	0.040038	0.168729			unstable_baseline	F_unstable_lowpower
ApoB	AF	pri_skin	0.023169	0.024652	0.023758	0.024740	-0.205977	0.836809	0.961679			unstable_baseline	F_unstable_lowpower
ApoB	AF	psoriasis	0.111800	0.036301	0.114180	0.036695	-0.691562	0.489212	0.800500	-0.002380	-0.021287	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	raynauds	-0.019781	0.049615	-0.028606	0.050208	1.409264	0.158757	0.437051			unstable_baseline	F_unstable_lowpower
ApoB	AF	retinal_detach	0.035218	0.040216	0.031650	0.040878	0.821612	0.411298	0.732582			unstable_baseline	F_unstable_lowpower
ApoB	AF	schizo	-0.031413	0.019007	-0.031873	0.019105	0.252671	0.800522	0.957160			unstable_baseline	F_unstable_lowpower
ApoB	AF	scoliosis	0.084003	0.039823	0.086551	0.040400	-0.485622	0.627235	0.891268	-0.002548	-0.030331	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	sinusitis	0.026289	0.051627	0.019600	0.050590	1.209240	0.226570	0.535197			unstable_baseline	F_unstable_lowpower
ApoB	AF	sleep_apnoea	0.242921	0.025936	0.250922	0.025426	-2.081437	0.037394	0.160214	-0.008001	-0.032936	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	spondylolisthesis	0.022235	0.052706	0.026916	0.053168	-0.877962	0.379964	0.701320			unstable_baseline	F_unstable_lowpower
ApoB	AF	spondylosis	0.160796	0.036736	0.167631	0.036312	-1.487798	0.136804	0.400187	-0.006836	-0.042512	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	stroke_all	0.425989	0.042798	0.426437	0.041644	-0.103138	0.917853	0.977165	-0.000448	-0.001052	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	tendon	0.052655	0.033073	0.060529	0.033477	-2.020679	0.043313	0.179888			unstable_baseline	F_unstable_lowpower
ApoB	AF	thromboembolic	0.155142	0.031785	0.153981	0.032063	0.324510	0.745552	0.945414	0.001161	0.007482	OK	A_persistent
ApoB	AF	tinnitus	0.039719	0.044423	0.033136	0.044088	1.387463	0.165301	0.446410			unstable_baseline	F_unstable_lowpower
ApoB	AF	ulc_colitis	0.033458	0.027663	0.029595	0.027860	1.342598	0.179402	0.469773			unstable_baseline	F_unstable_lowpower
ApoB	AF	ulcer_peptic	0.128571	0.038269	0.136875	0.038243	-1.430170	0.152668	0.426670	-0.008304	-0.064585	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	urine_incont	0.097615	0.029315	0.096147	0.028955	0.400829	0.688546	0.924885	0.001468	0.015042	OK	A_persistent
ApoB	AF	urolithiasis	0.134351	0.031431	0.140886	0.031962	-1.863888	0.062337	0.235185	-0.006536	-0.048648	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AF	valve_nonrheumatic	0.569713	0.033937	0.571179	0.033194	-0.376815	0.706311	0.933939	-0.001466	-0.002573	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	CKD	0.047230	0.039567	0.047405	0.039549	-0.103796	0.917331	0.977097			unstable_baseline	F_unstable_lowpower
ApoB	BPH	COPD	0.040557	0.039968	0.043325	0.039177	-1.164290	0.244307	0.557742			unstable_baseline	F_unstable_lowpower
ApoB	BPH	ED	0.248476	0.064407	0.248244	0.064806	0.103989	0.917178	0.977283	0.000232	0.000932	OK	A_persistent
ApoB	BPH	GORD	0.175526	0.029432	0.180365	0.029201	-1.519223	0.128706	0.385112	-0.004839	-0.027571	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	HF	0.073726	0.041373	0.071776	0.041669	1.064779	0.286976	0.604694			unstable_baseline	F_unstable_lowpower
ApoB	BPH	IBS	0.290056	0.033499	0.288779	0.033517	0.826952	0.408265	0.730408	0.001277	0.004401	OK	A_persistent
ApoB	BPH	IDA	0.035826	0.065447	0.037834	0.064786	-0.834218	0.404158	0.726987			unstable_baseline	F_unstable_lowpower
ApoB	BPH	OA	0.130602	0.033043	0.131698	0.032764	-0.849842	0.395413	0.717140	-0.001096	-0.008395	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	PMR	0.141617	0.066494	0.142507	0.066116	-0.346539	0.728937	0.940503	-0.000890	-0.006282	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	RA	-0.022433	0.042105	-0.022217	0.041526	-0.130679	0.896029	0.972328			unstable_baseline	F_unstable_lowpower
ApoB	BPH	TIA	0.042555	0.062115	0.044273	0.061609	-0.600766	0.547996	0.844770			unstable_baseline	F_unstable_lowpower
ApoB	BPH	bursitis	0.116346	0.063401	0.117489	0.063407	-0.442871	0.657859	0.907119			unstable_baseline	F_unstable_lowpower
ApoB	BPH	carpal_tunnel	0.060976	0.029670	0.062959	0.029741	-1.190870	0.233704	0.544799	-0.001983	-0.032517	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	cataract	0.050750	0.033131	0.050313	0.033171	0.357900	0.720418	0.938609			unstable_baseline	F_unstable_lowpower
ApoB	BPH	cholelithiasis	0.071197	0.036463	0.071174	0.036272	0.014395	0.988515	0.997075			unstable_baseline	F_unstable_lowpower
ApoB	BPH	coronary_heart	0.002131	0.024864	0.006899	0.024851	-1.391122	0.164189	0.444938			unstable_baseline	F_unstable_lowpower
ApoB	BPH	deaf	0.117268	0.033924	0.118085	0.033822	-0.673223	0.500805	0.808905	-0.000817	-0.006965	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	depression	0.162206	0.030055	0.162336	0.030113	-0.144495	0.885109	0.969938	-0.000130	-0.000800	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	diabetes_type_2	0.043746	0.029230	0.046310	0.028997	-1.149223	0.250464	0.565222			unstable_baseline	F_unstable_lowpower
ApoB	BPH	diverticuli	0.164344	0.029187	0.165313	0.029199	-0.802818	0.422080	0.743000	-0.000969	-0.005898	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	enthesopathy_lower	0.132377	0.062890	0.130579	0.062672	0.817297	0.413759	0.735035	0.001798	0.013583	OK	A_persistent
ApoB	BPH	enthesopathy_shoulder	0.102269	0.041382	0.104997	0.040916	-1.109790	0.267090	0.583232	-0.002728	-0.026672	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	enthesopathy_upper	0.103388	0.043764	0.108875	0.043431	-1.384736	0.166133	0.447443	-0.005487	-0.053072	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	essential_tremor	0.049432	0.063623	0.050276	0.063362	-0.341894	0.732431	0.941345			unstable_baseline	F_unstable_lowpower
ApoB	BPH	female_genital_prolapse	0.164114	0.035323	0.165044	0.035326	-0.679525	0.496805	0.805323	-0.000930	-0.005666	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	fibromatosis	0.032622	0.042583	0.033470	0.042301	-0.495685	0.620117	0.886730			unstable_baseline	F_unstable_lowpower
ApoB	BPH	fibromyalgia	0.135386	0.061182	0.135336	0.060858	0.025161	0.979926	0.994331	0.000050	0.000366	OK	A_persistent
ApoB	BPH	gastritis_duodenitis	0.116934	0.041022	0.120775	0.040912	-1.276697	0.201709	0.500497	-0.003841	-0.032849	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	glaucoma	0.046465	0.033405	0.045789	0.033575	0.605122	0.545098	0.842830			unstable_baseline	F_unstable_lowpower
ApoB	BPH	gout	0.013945	0.026016	0.017001	0.026117	-1.311905	0.189552	0.483280			unstable_baseline	F_unstable_lowpower
ApoB	BPH	hypertension	0.076341	0.034365	0.073178	0.034774	1.300804	0.193325	0.488888	0.003163	0.041436	OK	A_persistent
ApoB	BPH	hyperthyroid	0.039369	0.049926	0.039434	0.049730	-0.033712	0.973106	0.991392			unstable_baseline	F_unstable_lowpower
ApoB	BPH	hypothyroid	0.035737	0.034328	0.035266	0.034143	0.353680	0.723579	0.939034			unstable_baseline	F_unstable_lowpower
ApoB	BPH	insomnia	0.149552	0.065588	0.148680	0.065524	0.341453	0.732763	0.941285	0.000872	0.005831	OK	A_persistent
ApoB	BPH	intervert_disc	0.183375	0.033372	0.185510	0.033096	-1.060042	0.289126	0.607420	-0.002135	-0.011643	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	isch_stroke_tia	0.119960	0.062613	0.118361	0.062704	0.665310	0.505852	0.813006			unstable_baseline	F_unstable_lowpower
ApoB	BPH	migraine	0.129411	0.032976	0.132224	0.033086	-1.199552	0.230313	0.540442	-0.002813	-0.021733	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	osteoporosis	0.082962	0.038473	0.081226	0.038467	0.893883	0.371384	0.692600	0.001736	0.020931	OK	A_persistent
ApoB	BPH	periph_neuro	0.130555	0.058784	0.135054	0.058870	-1.251805	0.210641	0.512761	-0.004499	-0.034461	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	peripheral_arterial	-0.025313	0.067651	-0.018885	0.067057	-1.219458	0.222670	0.529930			unstable_baseline	F_unstable_lowpower
ApoB	BPH	pri_bladder	0.105723	0.078081	0.103167	0.078005	0.825398	0.409146	0.731108			unstable_baseline	F_unstable_lowpower
ApoB	BPH	pri_breast	0.078000	0.030142	0.079056	0.030252	-0.897872	0.369254	0.690787	-0.001055	-0.013529	FLAG_OUT_OF_RANGE	A_persistent
ApoB	BPH	pri_colorectal	0.058192	0.044835	0.063299	0.045272	-1.346245	0.178224	0.467919			unstable_baseline	F_unstable_lowpower
ApoB	BPH	pri_prost	0.194477	0.042171	0.199107	0.041908	-1.347067	0.177959	0.467965	-0.004630	-0.023810	FLAG_OUT_OF_RANGE	A_persistent
