exposure	condition.1	condition.2	rg	rg.SE	partial_rg	partial_rg.SE	diff.T	diff.P	q	delta_rg	prop_atten	prop_atten_flag	class
ApoB	AAA	AF	0.146335	0.041100	0.174037	0.042034	-3.393405	0.000690	0.005507	-0.027702	-0.189307	FLAG_OUT_OF_RANGE	D_masked
ApoB	AAA	BPH	-0.033464	0.062568	-0.023611	0.062378	-1.383800	0.166420	0.447972			unstable_baseline	F_unstable_lowpower
ApoB	AAA	CKD	0.106613	0.061083	0.108875	0.060717	-0.272141	0.785514	0.953980			unstable_baseline	F_unstable_lowpower
ApoB	AAA	COPD	0.310376	0.061820	0.305782	0.061848	0.822455	0.410818	0.732078	0.004594	0.014803	OK	A_persistent
ApoB	AAA	ED	0.146715	0.074193	0.153313	0.075666	-0.561930	0.574164	0.860380			unstable_baseline	A_persistent
ApoB	AAA	GORD	0.196052	0.036790	0.181763	0.037596	2.542889	0.010994	0.059891	0.014289	0.072883	OK	A_persistent
ApoB	AAA	HF	0.293421	0.052153	0.312454	0.053405	-1.927545	0.053912	0.211644	-0.019033	-0.064866	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	IBS	0.056394	0.043406	0.067194	0.045068	-1.231158	0.218264	0.523622			unstable_baseline	F_unstable_lowpower
ApoB	AAA	IDA	0.131362	0.105686	0.125162	0.104141	0.682206	0.495109	0.803972			unstable_baseline	F_unstable_lowpower
ApoB	AAA	OA	0.261957	0.047282	0.264380	0.047521	-0.468278	0.639586	0.898034	-0.002423	-0.009248	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	PMR	0.123658	0.094190	0.123348	0.095777	0.024995	0.980059	0.994398			unstable_baseline	F_unstable_lowpower
ApoB	AAA	RA	0.270470	0.066966	0.276600	0.066427	-0.749617	0.453485	0.770099	-0.006130	-0.022665	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	TIA	0.468510	0.074367	0.473159	0.075085	-0.429985	0.667207	0.913419	-0.004649	-0.009923	FLAG_OUT_OF_RANGE	A_persistent
ApoB	AAA	alc_problems	0.116553	0.062349	0.116536	0.062604	0.002025	0.998384	1.000000			unstable_baseline	F_unstable_lowpower
