outcome	n_instruments	BMI_beta	BMI_SE	BMI_P	SMK_beta	SMK_SE	SMK_P	Egger_intercept	Egger_intercept_P
COPD	423	-0.018864468799846355	0.03499194885808871	0.5900974093778539	-1.930381171322482	0.13862028453508266	1.6455546267897467e-36	1.4215209313095465e-4	0.8034366008753946
HF	422	3.307153334329087e-4	0.03659273168854787	0.9927933320910282	-0.8533055759609254	0.14220881858808673	4.262764645770304e-9	-5.085520587225938e-5	0.9309910448896361
OA	422	0.00902370351343959	0.028867923094419344	0.7547508624854016	-0.6573030696898912	0.10918521152240356	3.8115448708169565e-9	-6.7927336685975e-4	0.13173603548521684
alcohol_problems	423	0.016830664248383333	0.042314685250970256	0.6910165893501008	-0.7396080751977884	0.16612878220854402	1.0915998793213791e-5	7.59669240177186e-4	0.2681336996213104
carpal_tunnel	423	-0.010444819968064614	0.04440596199108064	0.8141587458958195	-0.855818098831233	0.1747269782112533	1.3839010672346948e-6	-7.222666113165176e-4	0.3151300849659079
coronary_heart	422	-0.023462880728777554	0.031635623191847956	0.458708774767317	-0.7289635065547431	0.1268737161247292	1.76423968444827e-8	-2.1519102929596303e-4	0.6769378613691837
diabetes_type_2	422	-0.06228395618086782	0.06600757125934127	0.345923952614006	-1.264999713220328	0.2624913574702934	2.018788340920912e-6	-0.0011240916824156004	0.2922272998596655
fibromyalgia	423	-0.10059255857674664	0.07699336392982176	0.19209434022383226	-1.0748080801605686	0.30223388398093004	4.190676060365464e-4	-0.002619157009782493	0.03629230376462825
gastritis_duodenitis	423	-0.011707320551625358	0.026901547728983354	0.6636470909658356	-0.8813000615239387	0.1056163628575162	1.042312512476781e-15	8.44609320835598e-4	0.053183249089214645
gout	423	-0.0256763762531009	0.027185219669372762	0.34545841181835246	-0.6107521780718429	0.11199231940881631	8.44565133530596e-8	-1.2143504077834498e-4	0.7871085727319004
hypertension	423	0.01632106100532549	0.042368264857913104	0.700270172175995	-0.7779830403609332	0.1697124973575859	6.022350363257246e-6	3.9289498734054723e-4	0.569318011621561
insomnia	423	0.005605590633123089	0.050488864597691425	0.9116485459193037	-0.5220696724973332	0.19813815217006334	0.008728072632440373	-3.4926486942230066e-4	0.6693657578121793
periph_neuro	423	-0.05181462335555812	0.04586458795714124	0.2592345910388772	-0.8558740881273683	0.18008618665428175	2.7629095319919135e-6	-0.0023741987847617023	0.0014968472165767168
sleep_apnoea	423	-0.02421326493328165	0.045774274096995506	0.5971049831344746	-0.935489947378817	0.1788381846824063	2.6671659012102355e-7	-0.001047967597632251	0.15483397353609266
valve_nonrheumatic	423	-0.030432653816083604	0.032286769223411074	0.346440937750786	-0.7894398563114634	0.13179710040968393	4.517775841092955e-9	-6.625013915626671e-4	0.20511797558674544
