pair_id	disease1	disease2	baseline	BMI	SBP	ApoB	FG	SMK	SLEEP	JOINT
BPH_pri_colorectal	BPH	pri_colorectal	0.05819180100952253	0.05831	0.05707	0.063299	0.058532	0.056734	0.058945	0.061269643812963716
BPH_pri_prost	BPH	pri_prost	0.19447673097964277	0.194697	0.194264	0.199107	0.194266	0.192489	0.198245	0.20040066069994802
BPH_pri_skin	BPH	pri_skin	0.07878218197829805	0.078748	0.078007	0.079091	0.079946	0.077608	0.079122	0.07843882349993883
BPH_psoriasis	BPH	psoriasis	0.06031561612384226	0.062097	0.06149	0.061247	0.059447	0.068992	0.053249	0.06535598404464048
BPH_RA	BPH	RA	-0.022433042575038826	-0.021979	-0.020176	-0.022217	-0.025547	-0.013024	-0.029031	-0.017734118824906143
BPH_raynauds	BPH	raynauds	0.0703874821545033	0.070317	0.070991	0.066674	0.075127	0.073833	0.062793	0.06948503417310375
BPH_retinal_detach	BPH	retinal_detach	0.11440433644455521	0.114369	0.11454	0.112843	0.116384	0.112243	0.113691	0.11183234401844547
BPH_schizo	BPH	schizo	0.034688609230305534	0.034398	0.033303	0.03458	0.034662	0.039564	0.043778	0.048559020397618675
BPH_scoliosis	BPH	scoliosis	0.05151795114122871	0.051363	0.051352	0.052582	0.053626	0.053229	0.04674	0.05197682045655616
BPH_sinusitis	BPH	sinusitis	0.20221111033124856	0.20293	0.204096	0.199694	0.202356	0.212559	0.193892	0.20515015286811172
BPH_sleep_apnoea	BPH	sleep_apnoea	0.16485526077197932	0.199997	0.167387	0.168344	0.163544	0.175446	0.162056	0.20893034712189154
BPH_spondylolisthesis	BPH	spondylolisthesis	0.05499037004832614	0.057052	0.054968	0.057244	0.053434	0.064451	0.047917	0.05985501418562662
BPH_spondylosis	BPH	spondylosis	0.14039486113399144	0.154843	0.142658	0.143503	0.138836	0.162999	0.128464	0.16552012242675737
BPH_stroke_all	BPH	stroke_all	0.041561560522378145	0.044249	0.051291	0.040835	0.040137	0.049908	0.043986	0.06700832919200413
BPH_tendon	BPH	tendon	0.10783228123116365	0.112682	0.109103	0.111765	0.105914	0.123192	0.092606	0.11389045826432023
BPH_thromboembolic	BPH	thromboembolic	0.11494729739974845	0.123004	0.11442	0.114183	0.113026	0.122141	0.110228	0.11876023013700297
BPH_TIA	BPH	TIA	0.042555350924952	0.044178	0.049425	0.044273	0.040645	0.051798	0.039522	0.059897872115691635
BPH_tinnitus	BPH	tinnitus	0.22917972914623375	0.229705	0.228569	0.22676	0.235525	0.230374	0.222449	0.22770309462068272
BPH_ulc_colitis	BPH	ulc_colitis	0.090992305380505	0.090887	0.091814	0.089264	0.091028	0.091309	0.090774	0.09057381558458717
BPH_ulcer_peptic	BPH	ulcer_peptic	0.037005773168125346	0.04019	0.040652	0.040588	0.034255	0.057993	0.025621	0.05625910419848447
BPH_urine_incont	BPH	urine_incont	0.2088340292954023	0.220864	0.209582	0.208179	0.207882	0.226475	0.20238	0.2266556930977299
BPH_urolithiasis	BPH	urolithiasis	0.17423727551363205	0.176197	0.173986	0.177373	0.173952	0.175549	0.173233	0.17873415930255346
BPH_valve_nonrheumatic	BPH	valve_nonrheumatic	0.02563216070765117	0.02691	0.0348	0.025044	0.023536	0.029461	0.020248	0.034011945800272926
bursitis_carpal_tunnel	bursitis	carpal_tunnel	0.3858307460567065	0.34587	0.386237	0.385362	0.370345	0.350046	0.345314	0.2839928606860864
bursitis_cataract	bursitis	cataract	0.13269037712135795	0.114982	0.132262	0.13296	0.125211	0.099441	0.125803	0.08407676415688108
bursitis_cholelithiasis	bursitis	cholelithiasis	0.1970129120352882	0.135009	0.196731	0.197106	0.180296	0.158068	0.200667	0.1247563749667689
