rank_attenuation_burden	rank_persistent_connectivity	disease	n_edges	baseline_significant_edges	significantly_attenuated_edges	near_null_equivalent_edges	persistent_residual_edges	median_joint_attenuation	median_residual_abs_rg	mean_residual_abs_rg
34	17	AAA	70	35	36	4	18	0.055482054821829	0.07192595803766041	0.10816748014121254
35	20	valve_nonrheumatic	70	48	35	4	17	0.04123827789848505	0.10968376841386861	0.14898359957966706
36	14	spondylolisthesis	70	44	35	0	18	0.04034498225605758	0.13743512292775667	0.18089103372395088
37	57	pri_skin	70	11	35	3	5	0.01743899726128815	0.033849936990422415	0.04834509386678652
38	27	TIA	70	54	34	0	14	0.04733784056872245	0.20050931721955936	0.2285989600595892
39	28	stroke_all	70	51	33	0	13	0.048308631130885515	0.15701516145577638	0.19689312854005817
40	55	osteoporosis	70	38	33	1	6	0.03298549020646663	0.14796436942137017	0.15089860754647724
41	9	bursitis	70	44	31	2	21	0.05075756724725489	0.16437172821597884	0.21490013340679562
42	22	isch_stroke_tia	70	47	30	0	16	0.052981349135436936	0.18992515476094976	0.22485360353804945
43	69	pri_prost	70	5	30	0	2	0.022901327652304113	0.042582057080918376	0.05143803926476463
44	30	deaf	70	35	29	5	13	0.020848736560664133	0.06731483881298363	0.08149181484281527
45	4	diabetes_type_2	70	55	27	9	24	0.09280299306385456	0.10328541175472425	0.11075993572840656
46	53	hypertension	70	54	25	2	6	0.06257342097373542	0.1841839900588359	0.19416778418615566
47	8	periph_neuro	70	54	24	2	21	0.06422149529207449	0.2118544939880177	0.25394749763798224
48	2	peripheral_arterial	70	50	23	0	26	0.09182771363790401	0.2252236158744712	0.24020887050180895
49	65	anxiety	70	61	14	1	2	0.01998007242278378	0.21449099295400526	0.24030817194674015
50	51	urolithiasis	70	41	13	2	7	0.015196939464381802	0.10199751504679776	0.10330437309604437
51	58	schizo	70	29	13	1	4	0.0131632606249956	0.05820860605885034	0.08021566823460029
52	5	insomnia	70	49	12	0	23	0.03589083202139218	0.23024017849701045	0.2374547867811409
53	68	retinal_detach	70	6	9	1	2	0.019186512417964464	0.044063679859195876	0.060588005992638215
54	60	pri_bladder	70	1	8	0	4	0.019325836560323786	0.0431219429585727	0.0666148061338028
55	13	sinusitis	70	42	7	1	18	0.025851017922351147	0.17029557940085738	0.21288355305698026
56	49	female_genital_prolapse	70	54	6	2	8	0.012756219756272578	0.14723653195728015	0.1433947852444471
57	67	allergic_rhinitis	70	36	4	0	2	0.010430268987939889	0.13413064459974433	0.17299463796971457
58	70	fibromatosis	70	7	4	1	1	0.008559788199149918	0.03774654411601476	0.05268117435098504
59	52	migraine	70	58	4	0	6	0.008089461190021886	0.19668200638362224	0.20290057767281905
60	21	hyperthyroid	70	32	3	0	17	0.019584401368179773	0.09959982545417334	0.11525726470960267
61	71	glaucoma	70	7	3	2	1	0.009751656278076164	0.03498528595402128	0.04520610457324247
62	63	pri_breast	70	15	3	1	3	0.007327767747010766	0.038498097129057454	0.049996364700586764
63	66	tinnitus	70	30	2	0	2	0.020273614691464163	0.13991593977555772	0.16402710674347656
64	50	raynauds	70	17	2	1	7	0.014668117574081211	0.10602088139896543	0.12429534961155746
65	47	IBS	70	56	2	0	8	0.007296817870646639	0.22516570915839051	0.25674198826972966
66	40	scoliosis	70	25	1	0	11	0.009349245216379271	0.12122827656024707	0.1404581576321029
67	45	BPH	70	34	1	0	9	0.006581708052723588	0.11051247499216112	0.1097179731801665
68	62	ulc_colitis	70	21	1	0	3	0.005128025633586084	0.05291352653453575	0.0737681172488351
69	10	PMR	70	36	0	0	20	0.016148013111358328	0.16747683516372938	0.16985123880785935
70	46	essential_tremor	70	10	0	0	9	0.00999016883247797	0.06944455778350445	0.0818705391746917
71	59	pri_colorectal	70	8	0	0	4	0.006810909084313362	0.04795599788724918	0.05634337853436895
