rank_attenuation_burden	rank_persistent_connectivity	disease	n_edges	baseline_significant_edges	significantly_attenuated_edges	near_null_equivalent_edges	persistent_residual_edges	median_joint_attenuation	median_residual_abs_rg	mean_residual_abs_rg
1	15	carpal_tunnel	70	58	51	12	18	0.0838074200344892	0.09003842844542777	0.1368117677190991
2	43	sleep_apnoea	70	57	50	4	9	0.08613750712072252	0.17818964240264984	0.1738029811390237
3	39	asthma	70	59	50	7	11	0.07249113066506757	0.13371107335588034	0.1648513783296
4	32	COPD	70	60	49	7	12	0.11530830955899359	0.17219227545114357	0.1709265201554994
5	36	urine_incont	70	59	49	4	11	0.06802081341770054	0.19220323328429656	0.20844812958888775
6	42	OA	70	58	49	5	10	0.06082210724463413	0.16415849284526046	0.21229886154121155
7	11	cholelithiasis	70	48	48	7	19	0.07183015864616829	0.08302438948375832	0.09826656089713719
8	23	gout	70	45	47	14	16	0.08708940385565428	0.06052228158910476	0.07242700977522426
9	64	GORD	70	61	47	0	2	0.06474438726025923	0.27198958277852703	0.27452998008475826
10	41	RA	70	59	47	1	10	0.06350559999029132	0.20128713195923265	0.1850975752528622
11	56	intervert_disc	70	58	47	1	5	0.05919358533128635	0.19301368005481134	0.235639020679053
12	6	psoriasis	70	45	47	0	23	0.05862391791991407	0.1051981425681453	0.11512598818890823
13	33	IDA	70	48	45	8	12	0.09135189603331596	0.15359318855995158	0.15297634285601464
14	61	gastritis_duodenitis	70	57	45	1	3	0.05600951075858386	0.2562843318435002	0.2850733088432102
15	34	AF	70	46	45	11	12	0.03785924775349359	0.06507460757222541	0.09114884633577523
16	1	alc_problems	70	48	44	6	27	0.0738100213487161	0.10080602840351005	0.11953396672924001
17	38	enthesopathy_shoulder	70	60	44	2	11	0.05862972304049033	0.18669937900386704	0.2398830074423933
18	37	tendon	70	60	44	4	11	0.056086618875102856	0.1896634705580475	0.25144366277907015
19	16	cataract	70	48	44	3	18	0.04134079445225955	0.07791750923580879	0.0885743557518118
20	25	HF	70	53	43	7	15	0.09896974579869258	0.12739749090637975	0.15295147326298386
21	19	ulcer_peptic	70	53	43	3	17	0.09657187217033164	0.18350026917758144	0.21090315245475416
22	29	thromboembolic	70	50	43	3	13	0.05568059848049087	0.11637486921439616	0.11748173106291815
23	44	coronary_heart	70	55	42	2	9	0.07924678630700674	0.12176968648295915	0.14917714868624457
24	35	spondylosis	70	60	42	2	11	0.06561157358352165	0.26552239545824785	0.3039809136465872
25	24	enthesopathy_upper	70	59	42	5	15	0.05548567329284973	0.14793117363967842	0.22449527154694213
26	3	b12_def	70	40	41	3	24	0.08815092487133913	0.1158489908428349	0.13692535526175262
27	12	CKD	70	40	41	11	19	0.054386216119957836	0.056913357945226326	0.07457936239500407
28	54	diverticuli	70	59	41	2	6	0.032110422443969	0.16337002684052138	0.1602153006466821
29	7	ED	70	46	40	4	22	0.08379223444108105	0.13563387497346793	0.1610377303337298
30	31	fibromyalgia	70	55	40	3	12	0.05904522138059104	0.2458499873343764	0.2893258317845193
31	48	depression	70	62	40	1	8	0.03931470901142668	0.17868118421554394	0.20749835053736387
32	18	enthesopathy_lower	70	56	39	2	17	0.0590532407793227	0.2170801972203389	0.2611998965607216
33	26	hypothyroid	70	48	37	2	15	0.026425755498015444	0.10200913778878935	0.11575855706244326
