outcome	n_instruments	BMI_beta	BMI_SE	SMK_beta	SMK_SE	BMI_P	SMK_P
COPD	423	-0.05349397590361446	0.06754380614440454	-2.0006369426751593	0.22985571485777984	0.42836687938498075	3.2072145257487924e-18
HF	422	-0.03553571428571429	0.06622901424590286	-0.7787313432835821	0.2993659230335243	0.5915728906621078	0.009287954944284716
OA	422	-0.0093859649122807	0.04151129154497007	-0.7796232876712329	0.1886990679163565	0.8211187377921427	3.6029493623528036e-5
alcohol_problems	423	0.06293216417910448	0.06564910165415613	-0.7825606060606061	0.18196874181741318	0.3377531123878024	1.7039613245480242e-5
carpal_tunnel	423	0.010437956204379562	0.05914856522698131	-0.9968023255813955	0.2798160349968861	0.8599245971452124	3.6755155523876917e-4
coronary_heart	422	0.026554054054054053	0.05673230422055418	-0.8597122302158273	0.2189550396829153	0.6397425434406916	8.621499639099495e-5
diabetes_type_2	422	-0.06368421052631579	0.1472241563714439	-2.5192477876106194	0.4201166404026337	0.6653298669018695	2.0156140415109935e-9
fibromyalgia	423	-0.0482608527131783	0.12229164955745124	-1.1884157303370786	0.6613767752196479	0.6931105436357707	0.07235442495673612
gastritis_duodenitis	423	0.030072835051546388	0.033679550429887115	-0.8151880341880342	0.16762076655051916	0.3719049313448238	1.1545176989921464e-6
gout	423	0.058333333333333334	0.060782535317453756	-0.618426103646833	0.25474363574685566	0.3372034553531761	0.015197376702529556
hypertension	423	0.06811764705882352	0.10625217874814764	-1.0419475655430712	0.3356935733304225	0.5214615341047154	0.0019101040304110165
insomnia	423	-0.031208268156424582	0.06742425505143218	-0.009007228571428572	0.3910988445937602	0.6434617707042452	0.9816258895995997
periph_neuro	423	-0.03845299401197605	0.07561391450559542	-1.2419136363636363	0.3511444421811094	0.611071969260443	4.050674945401585e-4
sleep_apnoea	423	0.007908496732026144	0.08483181773441792	-1.165483870967742	0.4110123396039115	0.9257243406046634	0.004573367277781496
valve_nonrheumatic	423	-0.017605633802816902	0.06438070674710061	-0.8561224489795919	0.2529852190239813	0.7844986127182929	7.141695546783943e-4
