pair_id	baseline_abs_rg	joint_abs_rg	classification
AAA_AF	0.14633514128370315	0.11136513207090257	PERSISTENT
AAA_alc_problems	0.11655333265926685	0.03920282858898534	UNSTABLE
AAA_allergic_rhinitis	0.059204903577827955	0.06418872748513232	UNSTABLE
AAA_anxiety	0.19191974459296876	0.16053028710070505	ATTENUATED
AAA_asthma	0.1134310473381138	0.014297496661474448	NEAR_NULL_EQUIVALENT
AAA_b12_def	0.1321707521622043	0.014863296154320913	UNSTABLE
AAA_BPH	0.033464077631544145	0.01354016090936754	UNSTABLE
AAA_bursitis	0.019100015498997695	0.10758262374831826	UNSTABLE
AAA_carpal_tunnel	0.051948375076273944	0.0775122087689466	UNSTABLE
AAA_cataract	0.09888283497418751	0.05656862349118208	UNSTABLE
AAA_cholelithiasis	0.13591932787897565	0.03194267669756427	UNSTABLE
AAA_CKD	0.10661306916704026	0.04263566533494153	UNSTABLE
AAA_COPD	0.31037648791781813	0.13408473509438987	PERSISTENT
AAA_coronary_heart	0.27118101580180703	0.16985761249247305	ATTENUATED
AAA_deaf	0.06629806041887361	0.014854787930419588	UNSTABLE
AAA_depression	0.15758184338936007	0.07674095747183665	PERSISTENT
AAA_diabetes_type_2	0.16305776879434247	0.036714609519529096	NEAR_NULL_EQUIVALENT
AAA_diverticuli	0.13372130833207252	0.0768697359430741	PERSISTENT
AAA_ED	0.14671531355252454	0.018529602789170405	UNSTABLE
AAA_enthesopathy_lower	0.26857170016723975	0.18005873746411313	PERSISTENT
AAA_enthesopathy_shoulder	0.15005411964118495	0.0381275137872192	NEAR_NULL_EQUIVALENT
AAA_enthesopathy_upper	0.1162273642200094	0.018476125419148726	UNSTABLE
AAA_essential_tremor	0.09788107757366435	0.0936139771893222	UNSTABLE
AAA_female_genital_prolapse	0.08891196749669909	0.06335454806674197	PERSISTENT
AAA_fibromatosis	0.045240880983091494	0.03414716588564106	UNSTABLE
AAA_fibromyalgia	0.19270311901877926	0.06957144235095851	PERSISTENT
AAA_gastritis_duodenitis	0.1197921476005593	0.02837229100907861	NEAR_NULL_EQUIVALENT
AAA_glaucoma	0.007908021552155371	0.031736024953295146	UNSTABLE
AAA_GORD	0.19605163708317108	0.07077248162871351	PERSISTENT
AAA_gout	0.17554071657615813	0.071980027641026	PERSISTENT
AAA_HF	0.29342127366891246	0.19155869088595165	ATTENUATED
AAA_hypertension	0.30710779409146016	0.3691986027100228	MASKED_ENHANCED
AAA_hyperthyroid	0.2750396929090442	0.2735557058234283	ATTENUATED
AAA_hypothyroid	0.0571179327626086	0.005726887173630099	UNSTABLE
AAA_IBS	0.056394050549958295	0.0404799723887356	UNSTABLE
AAA_IDA	0.1313619721814539	0.0027655504609600218	UNSTABLE
AAA_insomnia	0.2915691347569911	0.2555049731383382	PERSISTENT
AAA_intervert_disc	0.17011943360769388	0.05376907890450486	PERSISTENT
AAA_isch_stroke_tia	0.2840297219800206	0.22800355529878033	ATTENUATED
AAA_migraine	0.2536168303063142	0.22816308990119377	ATTENUATED
AAA_OA	0.2619573036539439	0.1553165317991617	ATTENUATED
AAA_osteoporosis	0.031851323392206775	0.07187188843429484	UNSTABLE
AAA_periph_neuro	0.26923413042095584	0.1415318328500511	PERSISTENT
AAA_peripheral_arterial	0.4629748488149627	0.37057731317250353	ATTENUATED
AAA_PMR	0.12365779739407692	0.10081584988221307	UNSTABLE
AAA_pri_bladder	0.017928288092982116	0.027658794833848484	UNSTABLE
AAA_pri_breast	0.03983238851932375	0.037994387664941266	UNSTABLE
AAA_pri_colorectal	0.06712204206165526	0.09114354745802354	UNSTABLE
AAA_pri_prost	0.0039973178953299285	0.021319965561909734	UNSTABLE
AAA_pri_skin	0.08843116255338204	0.06716981223974165	UNSTABLE
AAA_psoriasis	0.13109426069704322	0.051765191860092874	PERSISTENT
AAA_RA	0.2704702050840726	0.19786037670613113	ATTENUATED
AAA_raynauds	0.03444173645282694	0.021228994141062038	UNSTABLE
AAA_retinal_detach	0.08046461998008324	0.12986532717614155	UNSTABLE
AAA_schizo	0.03253033595851277	0.025339377340437372	UNSTABLE
AAA_scoliosis	0.11504661943645285	0.11848370959380775	UNSTABLE
AAA_sinusitis	0.17993514299112137	0.15783141345427254	PERSISTENT
AAA_sleep_apnoea	0.3048542086570067	0.18466614107077955	ATTENUATED
AAA_spondylolisthesis	0.3229922636455038	0.25640642937300523	ATTENUATED
AAA_spondylosis	0.26785049438755476	0.12794738185626686	PERSISTENT
AAA_stroke_all	0.3515922212051168	0.3030050662959576	ATTENUATED
AAA_tendon	0.1729018959463464	0.055182351099406626	PERSISTENT
AAA_thromboembolic	0.2898008786847804	0.23486293572236264	ATTENUATED
AAA_TIA	0.4685103377380105	0.43151532163945056	ATTENUATED
AAA_tinnitus	0.018101630711903884	0.006875846085377745	UNSTABLE
AAA_ulc_colitis	0.06446423182092617	0.055368486546196444	UNSTABLE
AAA_ulcer_peptic	0.3121522502064216	0.17632450617537962	PERSISTENT
AAA_urine_incont	0.17596512513618598	0.07253426325411741	PERSISTENT
AAA_urolithiasis	0.10582417865351819	0.06913192808716155	UNSTABLE
AAA_valve_nonrheumatic	0.22861515967109697	0.19931042817724468	ATTENUATED
AF_alc_problems	0.12519319320280295	0.05492365457565225	PERSISTENT
AF_allergic_rhinitis	0.06565303756215957	0.06483809911542487	UNSTABLE
AF_anxiety	0.11609775176011958	0.10686929919838963	ATTENUATED
AF_asthma	0.11994320734420566	0.04722264346873033	NEAR_NULL_EQUIVALENT
AF_b12_def	0.05546042837571849	0.0384334460330443	UNSTABLE
AF_BPH	0.11215784845262455	0.1226207444270718	ATTENUATED
AF_bursitis	0.1391780603098336	0.09121124154399457	PERSISTENT
AF_carpal_tunnel	0.08864208597265662	0.0007271756521695661	NEAR_NULL_EQUIVALENT
AF_cataract	0.11843858825335332	0.08010809473049017	ATTENUATED
AF_cholelithiasis	0.1565441185632619	0.07602494035653173	ATTENUATED
AF_CKD	0.12431476865787419	0.028927657437333845	NEAR_NULL_EQUIVALENT
AF_COPD	0.11961374889433432	0.003601614540471424	NEAR_NULL_EQUIVALENT
AF_coronary_heart	0.263373627302607	0.16812786838585897	ATTENUATED
AF_deaf	0.001961214587012465	0.011359832419459497	UNSTABLE
AF_depression	0.10803595403091011	0.07769225414735641	ATTENUATED
AF_diabetes_type_2	0.16705407974195208	0.050075481309730156	PERSISTENT
AF_diverticuli	0.11175602046168566	0.08518003012722995	ATTENUATED
AF_ED	0.2213430742113148	0.14167460322633357	ATTENUATED
AF_enthesopathy_lower	0.11495428487895042	0.002576125459555845	NEAR_NULL_EQUIVALENT
AF_enthesopathy_shoulder	0.053479670334567596	0.016091668350443556	NEAR_NULL_EQUIVALENT
AF_enthesopathy_upper	0.07532887891199781	0.017635944250332887	NEAR_NULL_EQUIVALENT
AF_essential_tremor	0.035167404852268734	0.019012853628129538	UNSTABLE
AF_female_genital_prolapse	0.09095279282639487	0.08983368813815781	ATTENUATED
AF_fibromatosis	0.02454039024087222	0.01658127771658287	UNSTABLE
AF_fibromyalgia	0.10095399716606257	0.001969980920845642	NEAR_NULL_EQUIVALENT
