outcome	exposure	beta	SE	P	q
COPD	BMI	0.018016041833833058	0.034786921920861975	0.6048021868119744	0.7628894747740343
COPD	SMK	1.9282321129920226	0.1381972621007791	1.229180887991748e-36	3.687542663975244e-35
HF	BMI	-2.1869608674592435e-05	0.03637567416949852	0.9995205851438802	0.9995205851438802
HF	SMK	0.8543314691101077	0.14154757650435515	3.4820154247071745e-09	2.0892092548243047e-08
OA	BMI	-0.004239061628261239	0.02873727002852115	0.8827995336448924	0.9458566431909562
OA	SMK	0.6611099001514495	0.10932242454078375	3.257429273145751e-09	2.0892092548243047e-08
alcohol_problems	BMI	-0.021480538071257445	0.04211785964201676	0.6103115798192275	0.7628894747740343
alcohol_problems	SMK	0.728472499874216	0.16587016388975373	1.42376776886563e-05	3.285617928151454e-05
carpal_tunnel	BMI	0.015211811103476717	0.04415287133824612	0.730622798773997	0.8430263062776889
carpal_tunnel	SMK	0.8646453663131991	0.17450876621661182	1.051122566380209e-06	3.50374188793403e-06
coronary_heart	BMI	0.025045848151147593	0.03137606975303592	0.4251783812858002	0.6073976875511432
coronary_heart	SMK	0.7314515446058367	0.1266085947008266	1.480322120494708e-08	7.401610602473541e-08
diabetes_type_2	BMI	0.06953593071559266	0.0656571500443613	0.29017373467363533	0.4742201535705616
diabetes_type_2	SMK	1.2792544199108977	0.2621780871033567	1.5139761135956027e-06	4.129025764351644e-06
fibromyalgia	BMI	0.11666055073301758	0.07692214845092887	0.1301168092450447	0.24396901733445883
fibromyalgia	SMK	1.1133365996357	0.3028965370226586	0.00026792532038582835	0.0005741256865410607
gastritis_duodenitis	BMI	0.006533655810481197	0.02685646548935214	0.8079065597221666	0.8976739552468518
gastritis_duodenitis	SMK	0.8689461668158347	0.10576891675925858	2.6274484536849965e-15	3.9411726805274947e-14
gout	BMI	0.026662172380155887	0.026909689111728977	0.32235140364418213	0.4835271054662732
gout	SMK	0.613746267237746	0.11132017431301557	6.151532821317482e-08	2.636371209136064e-07
hypertension	BMI	-0.019263802001647245	0.042018233345125014	0.6468564652320602	0.7762277582784722
hypertension	SMK	0.7698308042298916	0.16897197347552131	6.840202490653589e-06	1.710050622663397e-05
insomnia	BMI	-0.003465907762619935	0.05019116019438115	0.9449793051207911	0.9775647984008183
insomnia	SMK	0.5271783069068069	0.19758506449736613	0.00792247003888614	0.01584494007777228
periph_neuro	BMI	0.06638725641100113	0.04613428308476188	0.15089342300275937	0.26628251118134005
periph_neuro	SMK	0.8906038746422408	0.18171513798441993	1.3624934952967822e-06	4.0874804858903465e-06
sleep_apnoea	BMI	0.0319670372609926	0.04550545666817319	0.4827631069000534	0.6583133275909819
sleep_apnoea	SMK	0.9512923071721858	0.1787126340898067	1.6633352885248098e-07	6.237507331968036e-07
valve_nonrheumatic	BMI	0.0334161337158583	0.03222440729871974	0.300339430594689	0.4742201535705616
valve_nonrheumatic	SMK	0.7997156562661426	0.1316434912914591	2.7781571372189335e-09	2.0892092548243047e-08
