pair	disease1	disease2	baseline_rg	joint_rg	joint_attenuation	largest_single_axis	BMI_single_attenuation	SMK_single_attenuation	d1_BMI_beta	d1_BMI_q	d1_SMK_beta	d1_SMK_q	d2_BMI_beta	d2_BMI_q	d2_SMK_beta	d2_SMK_q	interpretation
HF_sleep_apnoea	HF	sleep_apnoea	0.44663456919342437	0.21486527934281946	0.2318	BMI	0.235	0.0315	-0.0	0.9995	0.8543	0.0	0.032	0.6583	0.9513	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
gout_sleep_apnoea	gout	sleep_apnoea	0.23216234159714808	0.005723467116336905	0.2264	BMI	0.2196	0.0168	0.0267	0.4835	0.6137	0.0	0.032	0.6583	0.9513	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
HF_OA	HF	OA	0.3589976787917834	0.1493424986840667	0.2097	BMI	0.1975	0.0437	-0.0	0.9995	0.8543	0.0	-0.0042	0.9459	0.6611	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
diabetes_type_2_OA	diabetes_type_2	OA	0.21997918856885662	0.021112801582917055	0.1989	BMI	0.2012	0.0274	0.0695	0.4742	1.2793	0.0	-0.0042	0.9459	0.6611	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
alc_problems_COPD	alc_problems	COPD	0.4863636459998471	0.2475087683721397	0.2389	SMK	0.0091	0.2301	-0.0215	0.7629	0.7285	0.0	0.018	0.7629	1.9282	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
alc_problems_fibromyalgia	alc_problems	fibromyalgia	0.34299630818596083	0.18479924099234818	0.1582	SMK	0.0172	0.1403	-0.0215	0.7629	0.7285	0.0	0.1167	0.244	1.1133	0.0006	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
COPD_gastritis_duodenitis	COPD	gastritis_duodenitis	0.499695773380166	0.35891894269469377	0.1408	SMK	0.0458	0.1002	0.018	0.7629	1.9282	0.0	0.0065	0.8977	0.8689	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
alc_problems_insomnia	alc_problems	insomnia	0.4574218245184386	0.3485140518612455	0.1089	SMK	0.0062	0.1173	-0.0215	0.7629	0.7285	0.0	-0.0035	0.9776	0.5272	0.0158	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
hypertension_valve_nonrheumatic	hypertension	valve_nonrheumatic	0.44025042326596475	0.29974570524628413	0.1405	SBP	0.0325	0.0085	-0.0193	0.7762	0.7698	0.0	0.0334	0.4742	0.7997	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
coronary_heart_HF	coronary_heart	HF	0.6195131253526028	0.5093054345183824	0.1102	SBP	0.0429	0.0261	0.025	0.6074	0.7315	0.0	-0.0	0.9995	0.8543	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
diabetes_type_2_periph_neuro	diabetes_type_2	periph_neuro	0.38273796580027064	0.007911705569295508	0.3748	FG	0.1806	0.0264	0.0695	0.4742	1.2793	0.0	0.0664	0.2663	0.8906	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
carpal_tunnel_diabetes_type_2	carpal_tunnel	diabetes_type_2	0.2416978561203827	4.6180238717716623e-4	0.2412	BMI	0.1736	0.0229	0.0152	0.843	0.8646	0.0	0.0695	0.4742	1.2793	0.0	ATTENUATION + CONCORDANT CAUSAL SUPPORT (SMK)
