pair_id	disease1	disease2	baseline_rg	baseline_SE	baseline_P	joint_rg	joint_SE	joint_covariance	joint_var_disease1	joint_var_disease2	difference_estimate	difference_SE	difference_Z	difference_P	joint_Z	joint_P	conditional_variance_valid	QC_status	notes	baseline_FDR	joint_FDR	difference_FDR	machine_class	human_readable_class
AAA_AF	AAA	AF	0.14633514128370315	0.04109968150100713	0.0003701587335424623	0.11136513207090257	0.05358656184843	0.011865702049827662	0.17094262961521528	0.06641069488902611	0.03497000921280058	0.02146676755289539	1.6290300403464284	0.10330665973459646	2.0782287243189757	0.03768829765229536	TRUE	PASS		0.0008220236397256647	0.07727344856926896	0.18890143446686694	PERSISTENT	PERSISTENT
AAA_alc_problems	AAA	alc_problems	0.11655333265926685	0.06234879266510272	0.06157053007250605	-0.03920282858898534	0.08292080935493529	-0.003925688152703654	0.17094262961521528	0.05866058731698631	0.1557561612482522	0.03568903659370349	4.3642579378489526	1.275550022018758e-05	-0.4727743119484164	0.6363742028300092	TRUE	PASS		0.09217034170492623	0.7277450041567294	7.601299291886364e-05	UNSTABLE	UNSTABLE
AAA_allergic_rhinitis	AAA	allergic_rhinitis	0.059204903577827955	0.06078892666132824	0.33008521763310683	0.06418872748513232	0.06759211310775995	0.005598237276556874	0.17094262961521528	0.04449740565133021	-0.004983823907304369	0.015403275499193398	-0.3235561103588227	0.7462741207086572	0.9496481842903518	0.34229104642477315	TRUE	PASS		0.4080904307553584	0.45632685105448567	0.8216620247944232	UNSTABLE	UNSTABLE
AAA_anxiety	AAA	anxiety	0.19191974459296876	0.04358070252896816	1.0638174477469689e-05	0.16053028710070505	0.05027315826544748	0.014889411163553341	0.17094262961521528	0.0503258015307394	0.03138945749226371	0.018731223438406344	1.6757825560877688	0.0937807921659157	3.193160975745516	0.0014072447382121017	TRUE	PASS		2.9446764382327734e-05	0.0045211177012067505	0.17654944585780344	ATTENUATED	ATTENUATED
AAA_asthma	AAA	asthma	0.1134310473381138	0.049220808990880195	0.021192663814014235	0.014297496661474448	0.04956242015104356	0.001902795395815969	0.17094262961521528	0.10361289200047202	0.09913355067663934	0.016993802210128795	5.8335120916938115	5.427267220019996e-09	0.2884745461965381	0.772983511934289	TRUE	PASS		0.035487715348938936	0.8431272931283504	7.93308731791207e-08	NEAR_NULL_EQUIVALENT	NEAR_NULL_EQUIVALENT
AAA_b12_def	AAA	b12_def	0.1321707521622043	0.09293111507903289	0.15495533170152703	0.014863296154320913	0.10981275788892832	0.0022660816361420658	0.17094262961521528	0.13597856689042342	0.11730745600788339	0.03230369546200357	3.6313943135658713	0.0002818940957672576	0.13535126919728768	0.892334151032547	TRUE	PASS		0.21110964872713522	0.9278035001321672	0.001144618999969992	UNSTABLE	UNSTABLE
AAA_BPH	AAA	BPH	-0.033464077631544145	0.0625683521249809	0.5927602776671368	-0.01354016090936754	0.06286617711158222	-0.0013954035302399812	0.17094262961521528	0.062130035727325957	-0.019923916722176603	0.01327805048426839	-1.500515210857356	0.13348099635648217	-0.21538069485814101	0.8294705200897691	TRUE	PASS		0.6663939944864398	0.883299220676012	0.23235183235701712	UNSTABLE	UNSTABLE
AAA_bursitis	AAA	bursitis	0.019100015498997695	0.08311344030646214	0.8182420711744167	-0.10758262374831826	0.10710840933662294	-0.008179901206668078	0.17094262961521528	0.03381905539105015	0.12668263924731596	0.03916398117981526	3.2346721510684153	0.0012178247999969356	-1.0044274246497764	0.31517263667859596	TRUE	PASS		0.8597596392678332	0.42751310160824835	0.00409512128280431	UNSTABLE	UNSTABLE
AAA_carpal_tunnel	AAA	carpal_tunnel	0.051948375076273944	0.039797028765855266	0.19177948072842232	-0.0775122087689466	0.04559434762215338	-0.010667430537186483	0.17094262961521528	0.11079726534735806	0.12946058384522055	0.02180467599876864	5.937285371840952	2.897800244374249e-09	-1.7000398692246004	0.08912342644364704	TRUE	PASS		0.2543073690555654	0.15796841277636442	4.5006460045437554e-08	UNSTABLE	UNSTABLE
AAA_cataract	AAA	cataract	0.09888283497418751	0.054146754062832536	0.06782005041271896	0.05656862349118208	0.05751327437866448	0.004708112807840928	0.17094262961521528	0.04052211622252949	0.04231421148300543	0.01383812092486126	3.0578003843704433	0.002229680479689302	0.9835750807498307	0.32532448251193935	TRUE	PASS		0.10067671760788927	0.43698991299576717	0.007140149474262778	UNSTABLE	UNSTABLE
AAA_cholelithiasis	AAA	cholelithiasis	0.13591932787897565	0.06855362558188888	0.047404121646396916	0.03194267669756427	0.08886542339880443	0.003488762051749656	0.17094262961521528	0.06978301145956338	0.10397665118141138	0.026857357715509688	3.871440082929921	0.00010819425400786701	0.3594500028904833	0.7192584737687484	TRUE	PASS		0.07321270496662295	0.7982837460095309	0.0004930417670039478	UNSTABLE	UNSTABLE
AAA_CKD	AAA	CKD	0.10661306916704026	0.06108328937578369	0.0809201186107963	0.04263566533494153	0.08340875933166238	0.0036228626158514056	0.17094262961521528	0.04223838076876503	0.06397740383209874	0.029635200007881685	2.158831518433603	0.030863240291616387	0.5111653221624749	0.6092352987535843	TRUE	PASS		0.11773213978210119	0.7035082329937997	0.07141075616821854	UNSTABLE	UNSTABLE
AAA_COPD	AAA	COPD	0.31037648791781813	0.06182042039361886	5.150648554198614e-07	0.13408473509438987	0.07895030570066187	0.014431979041072844	0.17094262961521528	0.06777081710509111	0.17629175282342827	0.03536883307420542	4.984381374798545	6.216036737917604e-07	1.6983434567406086	0.0894429572585894	TRUE	PASS		1.6536642967937408e-06	0.15842177390420148	5.218530842474746e-06	PERSISTENT	PERSISTENT
AAA_coronary_heart	AAA	coronary_heart	0.27118101580180703	0.04330770006873471	3.807358831807858e-10	0.16985761249247305	0.05898357002799871	0.016423212539873135	0.17094262961521528	0.0546884752875952	0.10132340330933398	0.03567154512295229	2.8404545684829063	0.004504928928260855	2.879744518886258	0.0039799753945461425	TRUE	PASS		1.6686572657923328e-09	0.011226150800734578	0.013279654076783186	ATTENUATED	ATTENUATED
AAA_deaf	AAA	deaf	0.06629806041887361	0.04551025511592362	0.14517935740805266	0.014854787930419588	0.04968018577680326	0.0015318922940820868	0.17094262961521528	0.0622118577626803	0.05144327248845402	0.013205554612617736	3.8955783378685696	9.796469176784917e-05	0.299008300757112	0.7649337120496589	TRUE	PASS		0.19899101111914552	0.8362781673750119	0.0004517718699154284	UNSTABLE	UNSTABLE
AAA_depression	AAA	depression	0.15758184338936007	0.04819160116232333	0.0010758450980337393	0.07674095747183665	0.05253649159011525	0.0078083908442672795	0.17094262961521528	0.060564520023435625	0.08084088591752342	0.0165449497380579	4.88613668807753	1.0283381869204974e-06	1.4607172110113928	0.14409306380386014	TRUE	PASS		0.002233479589485248	0.23131218575748866	8.351047040841295e-06	PERSISTENT	PERSISTENT
AAA_diabetes_type_2	AAA	diabetes_type_2	0.16305776879434247	0.04580536860349192	0.00037114296510009314	0.036714609519529096	0.07369648171192311	0.0037347153042303002	0.17094262961521528	0.060532246927638755	0.12634315927481338	0.07046039696778662	1.7931088201585845	0.0729555255864306	0.49818673383954987	0.6183524319971812	TRUE	PASS		0.0008234734538158316	0.7113915710708311	0.1448038986280192	NEAR_NULL_EQUIVALENT	NEAR_NULL_EQUIVALENT
AAA_diverticuli	AAA	diverticuli	0.13372130833207252	0.03949793955538882	0.0007104193317026225	0.0768697359430741	0.0453248698644057	0.009448727090443046	0.17094262961521528	0.08838640132173578	0.05685157238899842	0.013013444406357056	4.368679852447556	1.249998515094515e-05	1.6959725681074942	0.08989107523713914	TRUE	PASS		0.0015037410896771865	0.15876284432430046	7.484930867493662e-05	PERSISTENT	PERSISTENT
AAA_ED	AAA	ED	0.14671531355252454	0.07419273787571735	0.0479863971100449	0.018529602789170405	0.09828590645682984	0.0014902152995383139	0.17094262961521528	0.03783689031008128	0.12818571076335414	0.04241582455101127	3.022119978103737	0.002510110375424263	0.18852756674029525	0.8504631078122491	TRUE	PASS		0.07401998561046652	0.8974101158868105	0.007861800132229793	UNSTABLE	UNSTABLE
AAA_enthesopathy_lower	AAA	enthesopathy_lower	0.26857170016723975	0.07491387875284009	0.00033698434511434435	0.18005873746411313	0.0873888804459474	0.012487188850387626	0.17094262961521528	0.028135237008616087	0.08851296270312661	0.028471246956582326	3.108854446667048	0.0018781421818679616	2.060430761273853	0.03935737867418595	TRUE	PASS		0.0007510368588422832	0.07977413214139648	0.006141030686765637	PERSISTENT	PERSISTENT
AAA_enthesopathy_shoulder	AAA	enthesopathy_shoulder	0.15005411964118495	0.06539707255421157	0.02176132423776335	0.0381275137872192	0.0705023241236845	0.00358054988568445	0.17094262961521528	0.05159078115343464	0.11192660585396574	0.019925066873229483	5.6173766726146255	1.938784625664762e-08	0.540797970295715	0.5886468419927717	TRUE	PASS		0.03634199645889914	0.686754648991567	2.4089398973884667e-07	NEAR_NULL_EQUIVALENT	NEAR_NULL_EQUIVALENT
AAA_enthesopathy_upper	AAA	enthesopathy_upper	0.1162273642200094	0.06625755243928262	0.07940046825129375	-0.018476125419148726	0.07956294884628735	-0.0014412110351615937	0.17094262961521528	0.03559450632109984	0.13470348963915812	0.025206715999799307	5.343952367306817	9.094147521522331e-08	-0.23222021917317204	0.8163669743255256	TRUE	PASS		0.11572443613165101	0.8751002320555507	9.261867455320899e-07	UNSTABLE	UNSTABLE
AAA_essential_tremor	AAA	essential_tremor	0.09788107757366435	0.08254279061079732	0.23569250326472344	0.0936139771893222	0.0928108218503351	0.025808790563119077	0.17094262961521528	0.44463488458747247	0.004267100384342151	0.02303797641112726	0.1852202775188691	0.8530562651008492	1.0086536820057714	0.31314075249879414	TRUE	PASS		0.3058464076307247	0.4249889513705644	0.9051745046937849	UNSTABLE	UNSTABLE
AAA_female_genital_prolapse	AAA	female_genital_prolapse	0.08891196749669909	0.04436210206415896	0.04504515880666804	0.06335454806674197	0.0499510610417498	0.008637726945759658	0.17094262961521528	0.10874091103303779	0.025557419429957123	0.013213927439569971	1.9341274232688577	0.05309746296005592	1.2683323786413534	0.20467927888115497	TRUE	PASS		0.07013610252792611	0.3052989243815547	0.11125395906891988	PERSISTENT	PERSISTENT
AAA_fibromatosis	AAA	fibromatosis	0.045240880983091494	0.05584999623984221	0.41791564274644905	0.03414716588564106	0.06277220333453472	0.007646653303066428	0.17094262961521528	0.29334797228210946	0.011093715097450434	0.01471442915858108	0.7539344529027048	0.4508885815167699	0.5439854596732735	0.5864514787039554	TRUE	PASS		0.4978525274328504	0.6851584036574185	0.5835719401401944	UNSTABLE	UNSTABLE
AAA_fibromyalgia	AAA	fibromyalgia	0.19270311901877926	0.08227294931432044	0.019168305520051082	0.06957144235095851	0.10069527806781942	0.01061759676143547	0.17094262961521528	0.13625111350319252	0.12313167666782075	0.033247204055980514	3.7035197444120658	0.000212628623854882	0.6909106731310812	0.4896216783955086	TRUE	PASS		0.03249197763801292	0.5975981683756575	0.0008880371937468601	PERSISTENT	PERSISTENT
AAA_gastritis_duodenitis	AAA	gastritis_duodenitis	0.1197921476005593	0.05494994798109764	0.029255760541223006	-0.02837229100907861	0.06768544012420283	-0.0023057520804805054	0.17094262961521528	0.038635454588531494	0.1481644386096379	0.026246920535071203	5.645021800239773	1.6516031955438914e-08	-0.4191786439892455	0.675085578518789	TRUE	PASS		0.0474856727269361	0.7615014355965459	2.072845424710389e-07	NEAR_NULL_EQUIVALENT	NEAR_NULL_EQUIVALENT
AAA_glaucoma	AAA	glaucoma	0.007908021552155371	0.045542442191121406	0.8621478437168392	0.031736024953295146	0.04968491446464916	0.0055036111837434305	0.17094262961521528	0.17593005994744562	-0.023828003401139775	0.012611255139335668	-1.8894236249981204	0.05883508772836165	0.6387456896172246	0.5229883845131054	TRUE	PASS		0.8949195453785903	0.6285898677191673	0.12224514465299222	UNSTABLE	UNSTABLE
AAA_GORD	AAA	GORD	0.19605163708317108	0.03678997315928431	9.878647670735724e-08	0.07077248162871351	0.04430991072294369	0.006967831275774144	0.17094262961521528	0.05670430377177971	0.12527915545445756	0.02081806331203923	6.017810282189303	1.7679221834988636e-09	1.5972156222844178	0.11021765155240972	TRUE	PASS		3.4047766243797885e-07	0.18594084460810464	2.9485145140903863e-08	PERSISTENT	PERSISTENT
AAA_gout	AAA	gout	0.17554071657615813	0.04707506206900811	0.00019227663987278013	0.071980027641026	0.06780034613641801	0.00677703129229448	0.17094262961521528	0.05185666503143692	0.10356068893513214	0.035649254041595746	2.9049889463127885	0.0036726607031490745	1.0616469051086883	0.28839601146912647	TRUE	PASS		0.0004444720465896359	0.39751617616704354	0.01108938256054125	PERSISTENT	PERSISTENT
AAA_HF	AAA	HF	0.29342127366891246	0.05215264311739713	1.842212483902641e-08	0.19155869088595165	0.07710054758687632	0.011939839814497335	0.17094262961521528	0.022727041206810582	0.10186258278296081	0.04964010578760643	2.0520218715648406	0.04016753688425354	2.484530874052545	0.01297222589174478	TRUE	PASS		6.812348247764974e-08	0.03117599742841951	0.08888364127993771	ATTENUATED	ATTENUATED
AAA_hypertension	AAA	hypertension	0.30710779409146016	0.0563638606222335	5.0749300467322394e-08	0.3691986027100228	0.04794035913430405	0.027908612685079354	0.17094262961521528	0.03342766331963697	-0.06209080861856264	0.05430372478753375	-1.143398705364987	0.25287308977039974	7.701206444359743	1.3478752192811988e-14	TRUE	PASS		1.799030123556293e-07	2.0675740246381353e-13	0.3794623357967653	MASKED_ENHANCED	MASKED_ENHANCED
AAA_hyperthyroid	AAA	hyperthyroid	0.2750396929090442	0.06867483406435816	6.202900993131636e-05	0.2735557058234283	0.07383990995476114	0.034555528406791755	0.17094262961521528	0.09334544724697504	0.0014839870856158677	0.0247003333500461	0.06007963797837157	0.9520922072025623	3.704713426533501	0.00021162985550404452	TRUE	PASS		0.00015337521361126485	0.0008509711827306643	0.9676683578316432	ATTENUATED	ATTENUATED
AAA_hypothyroid	AAA	hypothyroid	0.0571179327626086	0.07273668639421049	0.4322953212245552	0.005726887173630099	0.07968560366529605	7.700081269126141e-4	0.17094262961521528	0.10575550493450135	0.0513910455889785	0.012864730939307453	3.9947237009019823	6.476974198331487e-05	0.07186852969935172	0.9427065349268565	TRUE	PASS		0.5113059844088623	0.9632740241645126	0.00031683623785145167	UNSTABLE	UNSTABLE
AAA_IBS	AAA	IBS	0.056394050549958295	0.04340644369579999	0.19387214854327406	0.0404799723887356	0.04668456840034488	0.00908820103651099	0.17094262961521528	0.2948662421201095	0.015914078161222693	0.016335623235370376	0.9741947357579268	0.3299598579862283	0.8670953545419638	0.3858897657095185	TRUE	PASS		0.25694522086935256	0.5017980469849049	0.4650880584774687	UNSTABLE	UNSTABLE
AAA_IDA	AAA	IDA	0.1313619721814539	0.10568573896596391	0.21388666722155855	0.0027655504609600218	0.11172997939687447	2.2806360295921264e-4	0.17094262961521528	0.03978308039310735	0.12859642172049388	0.030162581925795316	4.263442103095194	2.0130167649182008e-05	0.024752089599305745	0.9802527062973996	TRUE	PASS		0.2804793498921229	0.989812261336464	0.00011394867108933323	UNSTABLE	UNSTABLE
AAA_insomnia	AAA	insomnia	0.2915691347569911	0.09547578685053251	0.0022592183352084967	0.2555049731383382	0.12302588713863877	0.021224774822801974	0.17094262961521528	0.04036798642702386	0.03606416161865289	0.04334725518149285	0.8319825896162052	0.4054187718708939	2.076839103386491	0.03781641179559229	TRUE	PASS		0.004466314688140902	0.07734467762308381	0.5391458609204995	PERSISTENT	PERSISTENT
AAA_intervert_disc	AAA	intervert_disc	0.17011943360769388	0.04654040163622592	0.00025687487630088416	0.05376907890450486	0.05146470224295687	0.005985127171521169	0.17094262961521528	0.07248217072775004	0.11635035470318902	0.018326812133817746	6.348641206862828	2.1722499476507339e-10	1.0447758669751819	0.2961265711448444	TRUE	PASS		0.0005808317266676043	0.40633601838483624	4.907310109010976e-09	PERSISTENT	PERSISTENT
AAA_isch_stroke_tia	AAA	isch_stroke_tia	0.2840297219800206	0.08042537996896426	0.0004130643298174024	0.22800355529878033	0.0964573622818082	0.018397223624200314	0.17094262961521528	0.03808649049478131	0.05602616668124025	0.035721825232531104	1.5684015672922114	0.11678744558351706	2.3637755574597716	0.018089768129886143	TRUE	PASS		0.0009035782214755676	0.04197299141248092	0.2092406649423503	ATTENUATED	ATTENUATED
AAA_migraine	AAA	migraine	0.2536168303063142	0.045617731207570025	2.7037693133132124e-08	0.22816308990119377	0.05034467165804121	0.023828451411804275	0.17094262961521528	0.06380437781497719	0.02545374040512044	0.012129654461105486	2.098472012268733	0.03586346974426557	4.532020616818361	5.842214633185049e-06	TRUE	PASS		9.851710767717498e-08	3.1492198185390126e-05	0.08043386490478333	ATTENUATED	ATTENUATED
AAA_OA	AAA	OA	0.2619573036539439	0.04728166063311544	3.0185476197539434e-08	0.1553165317991617	0.05286576170331812	0.011020870458177626	0.17094262961521528	0.02945411962557599	0.10664077185478218	0.019225653950932065	5.546795553844461	2.90952615033203e-08	2.937941813281643	0.0033039902771818236	TRUE	PASS		1.0918618391686389e-07	0.009610552627115817	3.459412671567031e-07	ATTENUATED	ATTENUATED
AAA_osteoporosis	AAA	osteoporosis	0.031851323392206775	0.060302564226774116	0.5973661804902609	0.07187188843429484	0.061115335867948276	0.00976496045900025	0.17094262961521528	0.10798725096580075	-0.04002056504208807	0.02134841856003573	-1.8746383920449556	0.06084248772703937	1.1760041471356424	0.2395932188468089	TRUE	PASS		0.6698803964432755	0.3453533345906729	0.12568045054172303	UNSTABLE	UNSTABLE
AAA_periph_neuro	AAA	periph_neuro	0.26923413042095584	0.07271808747576398	0.00021353847973652626	0.1415318328500511	0.10026177959746088	0.01126241841372538	0.17094262961521528	0.037042873939517856	0.12770229757090473	0.047903232703949715	2.665838824701604	0.0076796501257449775	1.4116229875261	0.15806100013681776	TRUE	PASS		0.0004895231754107637	0.24781172576655655	0.021418552819838687	PERSISTENT	PERSISTENT
AAA_peripheral_arterial	AAA	peripheral_arterial	0.4629748488149627	0.09143158454689995	4.1136808743273474e-07	0.37057731317250353	0.12619748827450128	0.03913025373629105	0.17094262961521528	0.06522548112440765	0.09239753564245917	0.05568417675761797	1.6593140281959644	0.09705252994821026	2.9364872331407583	0.0033195248387006874	TRUE	PASS		1.3397767985194573e-06	0.009625460004867222	0.1811987505043595	ATTENUATED	ATTENUATED
AAA_PMR	AAA	PMR	0.12365779739407692	0.09418996055318188	0.18923168133305976	0.10081584988221307	0.10181252813896807	0.0157685225477774	0.17094262961521528	0.14311132256334227	0.022841947511863858	0.020850794697371323	1.095495296145406	0.2732997051627552	0.9902106521174427	0.3220711670680823	TRUE	PASS		0.2514656300067666	0.43402757601094605	0.4023399095553594	UNSTABLE	UNSTABLE
AAA_pri_bladder	AAA	pri_bladder	0.017928288092982116	0.12461359154868444	0.8856022976327401	-0.027658794833848484	0.1288100302855719	-0.00414884736905609	0.17094262961521528	0.1316248925982425	0.0455870829268306	0.025896856618517178	1.760332676601152	0.07835141686253391	-0.21472547419272336	0.8299813602730335	TRUE	PASS		0.9120272315032569	0.883299220676012	0.15355147547586495	UNSTABLE	UNSTABLE
AAA_pri_breast	AAA	pri_breast	-0.03983238851932375	0.03928617774742486	0.3106288570155524	-0.037994387664941266	0.042528704104541036	-0.004389977466574078	0.17094262961521528	0.07809717103518288	-0.0018380008543824808	0.009984559755839043	-0.18408431611695295	0.853947310145698	-0.8933822100844212	0.37165252620987	TRUE	PASS		0.3882860712694405	0.48608238296396156	0.9053153010716978	UNSTABLE	UNSTABLE
AAA_pri_colorectal	AAA	pri_colorectal	-0.06712204206165526	0.07216309298180729	0.352296717666998	-0.09114354745802354	0.07920721930015039	-0.011290261939285777	0.17094262961521528	0.08976474453261668	0.024021505396368284	0.01766685675226352	1.3596932229209697	0.1739270236250995	-1.1506974776205847	0.24985671459966396	TRUE	PASS		0.432324614025921	0.3575499276773048	0.28472243327297253	UNSTABLE	UNSTABLE
AAA_pri_prost	AAA	pri_prost	0.0039973178953299285	0.05854851214834625	0.9455678365591191	0.021319965561909734	0.06273431402338848	0.0030474410440841093	0.17094262961521528	0.11952183353863488	-0.017322647666579805	0.014696432961627462	-1.1786974235046979	0.23851868196433204	0.3398453604507617	0.7339729860629434	TRUE	PASS		0.9579030060535716	0.8088349757722458	0.3623986385900799	UNSTABLE	UNSTABLE
AAA_pri_skin	AAA	pri_skin	-0.08843116255338204	0.04489670287066401	0.0488775474477458	-0.06716981223974165	0.051147147889254924	-0.00818564960530819	0.17094262961521528	0.08687756730469844	-0.02126135031364039	0.012747197812801795	-1.6679234625423303	0.09533092139259848	-1.3132660375350627	0.18909331845927227	TRUE	PASS		0.07516132760374276	0.28704758483279874	0.17852097939759398	UNSTABLE	UNSTABLE
AAA_psoriasis	AAA	psoriasis	0.13109426069704322	0.06124658832943225	0.032319734776250275	0.051765191860092874	0.0682342217258165	0.006433328889118524	0.17094262961521528	0.09035360230365833	0.07932906883695034	0.017286851200826993	4.588983147674418	4.454103820002544e-06	0.7586397345909414	0.4480680966474635	TRUE	PASS		0.052108450126918456	0.5628221834809777	3.057582318427161e-05	PERSISTENT	PERSISTENT
AAA_RA	AAA	RA	0.2704702050840726	0.0669663304894395	5.3702818543549505e-05	0.19786037670613113	0.0714701760726639	0.027092427888541427	0.17094262961521528	0.10968009262542962	0.07260982837794147	0.019790099021811117	3.668997729516994	0.00024350324156793295	2.768432758651189	0.005632660739839082	TRUE	PASS		0.00013412211465399046	0.01514844365638541	0.0010051587297280954	ATTENUATED	ATTENUATED
AAA_raynauds	AAA	raynauds	-0.03444173645282694	0.09260280693043675	0.7099451733690336	-0.021228994141062038	0.10488601696646091	-0.0030318439986891216	0.17094262961521528	0.11931759407756312	-0.013212742311764905	0.03204222370164553	-0.4123540998525132	0.6800799009320043	-0.20240061311366578	0.8396035491253806	TRUE	PASS		0.7700627480672407	0.8901087114234516	0.7727473954348564	UNSTABLE	UNSTABLE
AAA_retinal_detach	AAA	retinal_detach	0.08046461998008324	0.06698790341114934	0.22968086378918598	0.12986532717614155	0.07404265356756289	0.023820133471936605	0.17094262961521528	0.1968119991844154	-0.04940070719605831	0.01904089086732296	-2.594453565239291	0.009474141028437605	1.7539258916165297	0.07944320641331402	TRUE	PASS		0.2988256264482341	0.1436800348887084	0.025534967956255365	UNSTABLE	UNSTABLE
AAA_schizo	AAA	schizo	0.03253033595851277	0.03572499867732501	0.3625186796790205	0.025339377340437372	0.04193608894391014	0.005724699157561986	0.17094262961521528	0.29858162636910485	0.007190958618075397	0.015428473798297026	0.4660836004964487	0.641155661374323	0.604237972080062	0.5456854386797321	TRUE	PASS		0.44355436681554206	0.6485070851837084	0.7407121424989274	UNSTABLE	UNSTABLE
AAA_scoliosis	AAA	scoliosis	0.11504661943645285	0.07081146974216364	0.10422883192541092	0.11848370959380775	0.08009864298958419	0.017788343333262003	0.17094262961521528	0.13185704537081527	-0.0034370901573548968	0.02133824869984879	-0.16107648784594272	0.8720331583964283	1.4792224333839843	0.13908087576797193	TRUE	PASS		0.1479204153824364	0.22530376550417877	0.9177840231754805	UNSTABLE	UNSTABLE
AAA_sinusitis	AAA	sinusitis	0.17993514299112137	0.08563851876363693	0.03563213642219238	0.15783141345427254	0.09542967041865714	0.01343292024928316	0.17094262961521528	0.04237440378017329	0.022103729536848832	0.021027164032405298	1.0511987970790746	0.29316729554590454	1.6539029503282812	0.09814723310987304	TRUE	PASS		0.05697931725170403	0.16960770116692248	0.42257582913664316	PERSISTENT	PERSISTENT
AAA_sleep_apnoea	AAA	sleep_apnoea	0.3048542086570067	0.056309029618888555	6.164976853305196e-08	0.18466614107077955	0.05678474332807894	0.01977352543907134	0.17094262961521528	0.06707231335736387	0.12018806758622713	0.02715776096222558	4.425551419846421	9.619623852188278e-06	3.2520379638568477	0.0011458071654259006	TRUE	PASS		2.1730450326898457e-07	0.0038219205450783396	6.0671993077888e-05	ATTENUATED	ATTENUATED
AAA_spondylolisthesis	AAA	spondylolisthesis	0.3229922636455038	0.09260662207964407	0.0004870341137765238	0.25640642937300523	0.10216030043099542	0.04693194716761766	0.17094262961521528	0.19598775762409498	0.06658583427249859	0.02390774400507473	2.785115745691642	0.005350861872526726	2.5098441203801665	0.012078446624992889	TRUE	PASS		0.0010570129019516696	0.02925432735195646	0.015460931095138587	ATTENUATED	ATTENUATED
