pair_id	disease1	disease2	baseline_rg	joint_rg	absolute_attenuation	proportional_attenuation	signed_delta_rg	prop_atten_flag	baseline_FDR	joint_FDR
AAA_AF	AAA	AF	0.14633514128370315	0.11136513207090257	0.03497000921280058	0.23897205350697992	0.03497000921280058	OK	0.0008220236397256647	0.07727344856926896
AAA_alc_problems	AAA	alc_problems	0.11655333265926685	-0.03920282858898534	0.0773505040702815	nan	0.1557561612482522	PROPORTIONAL_ATTENUATION_UNSTABLE	0.09217034170492623	0.7277450041567294
AAA_allergic_rhinitis	AAA	allergic_rhinitis	0.059204903577827955	0.06418872748513232	-0.004983823907304369	nan	-0.004983823907304369	PROPORTIONAL_ATTENUATION_UNSTABLE	0.4080904307553584	0.45632685105448567
AAA_anxiety	AAA	anxiety	0.19191974459296876	0.16053028710070505	0.03138945749226371	0.16355512330862965	0.03138945749226371	OK	2.9446764382327734e-05	0.0045211177012067505
AAA_asthma	AAA	asthma	0.1134310473381138	0.014297496661474448	0.09913355067663934	0.8739542920832191	0.09913355067663934	OK	0.035487715348938936	0.8431272931283504
AAA_b12_def	AAA	b12_def	0.1321707521622043	0.014863296154320913	0.11730745600788339	nan	0.11730745600788339	PROPORTIONAL_ATTENUATION_UNSTABLE	0.21110964872713522	0.9278035001321672
AAA_BPH	AAA	BPH	-0.033464077631544145	-0.01354016090936754	0.019923916722176603	nan	-0.019923916722176603	PROPORTIONAL_ATTENUATION_UNSTABLE	0.6663939944864398	0.883299220676012
AAA_bursitis	AAA	bursitis	0.019100015498997695	-0.10758262374831826	-0.08848260824932055	nan	0.12668263924731596	PROPORTIONAL_ATTENUATION_UNSTABLE	0.8597596392678332	0.42751310160824835
AAA_carpal_tunnel	AAA	carpal_tunnel	0.051948375076273944	-0.0775122087689466	-0.025563833692672656	nan	0.12946058384522055	PROPORTIONAL_ATTENUATION_UNSTABLE	0.2543073690555654	0.15796841277636442
AAA_cataract	AAA	cataract	0.09888283497418751	0.05656862349118208	0.04231421148300543	nan	0.04231421148300543	PROPORTIONAL_ATTENUATION_UNSTABLE	0.10067671760788927	0.43698991299576717
AAA_cholelithiasis	AAA	cholelithiasis	0.13591932787897565	0.03194267669756427	0.10397665118141138	nan	0.10397665118141138	PROPORTIONAL_ATTENUATION_UNSTABLE	0.07321270496662295	0.7982837460095309
AAA_CKD	AAA	CKD	0.10661306916704026	0.04263566533494153	0.06397740383209874	nan	0.06397740383209874	PROPORTIONAL_ATTENUATION_UNSTABLE	0.11773213978210119	0.7035082329937997
AAA_COPD	AAA	COPD	0.31037648791781813	0.13408473509438987	0.17629175282342827	0.5679932587873957	0.17629175282342827	OK	1.6536642967937408e-06	0.15842177390420148
AAA_coronary_heart	AAA	coronary_heart	0.27118101580180703	0.16985761249247305	0.10132340330933398	0.37363752403444905	0.10132340330933398	OK	1.6686572657923328e-09	0.011226150800734578
AAA_deaf	AAA	deaf	0.06629806041887361	0.014854787930419588	0.05144327248845402	nan	0.05144327248845402	PROPORTIONAL_ATTENUATION_UNSTABLE	0.19899101111914552	0.8362781673750119
AAA_depression	AAA	depression	0.15758184338936007	0.07674095747183665	0.08084088591752342	0.5130088859144657	0.08084088591752342	OK	0.002233479589485248	0.23131218575748866
AAA_diabetes_type_2	AAA	diabetes_type_2	0.16305776879434247	0.036714609519529096	0.12634315927481338	0.7748367968542755	0.12634315927481338	OK	0.0008234734538158316	0.7113915710708311
AAA_diverticuli	AAA	diverticuli	0.13372130833207252	0.0768697359430741	0.05685157238899842	0.4251496870477657	0.05685157238899842	OK	0.0015037410896771865	0.15876284432430046
AAA_ED	AAA	ED	0.14671531355252454	0.018529602789170405	0.12818571076335414	nan	0.12818571076335414	PROPORTIONAL_ATTENUATION_UNSTABLE	0.07401998561046652	0.8974101158868105
AAA_enthesopathy_lower	AAA	enthesopathy_lower	0.26857170016723975	0.18005873746411313	0.08851296270312661	0.32956920869923956	0.08851296270312661	OK	0.0007510368588422832	0.07977413214139648
AAA_enthesopathy_shoulder	AAA	enthesopathy_shoulder	0.15005411964118495	0.0381275137872192	0.11192660585396574	0.7459082504472976	0.11192660585396574	OK	0.03634199645889914	0.686754648991567
AAA_enthesopathy_upper	AAA	enthesopathy_upper	0.1162273642200094	-0.018476125419148726	0.09775123880086067	nan	0.13470348963915812	PROPORTIONAL_ATTENUATION_UNSTABLE	0.11572443613165101	0.8751002320555507
AAA_essential_tremor	AAA	essential_tremor	0.09788107757366435	0.0936139771893222	0.004267100384342151	nan	0.004267100384342151	PROPORTIONAL_ATTENUATION_UNSTABLE	0.3058464076307247	0.4249889513705644
AAA_female_genital_prolapse	AAA	female_genital_prolapse	0.08891196749669909	0.06335454806674197	0.025557419429957123	0.28744633764747085	0.025557419429957123	OK	0.07013610252792611	0.3052989243815547
AAA_fibromatosis	AAA	fibromatosis	0.045240880983091494	0.03414716588564106	0.011093715097450434	nan	0.011093715097450434	PROPORTIONAL_ATTENUATION_UNSTABLE	0.4978525274328504	0.6851584036574185
AAA_fibromyalgia	AAA	fibromyalgia	0.19270311901877926	0.06957144235095851	0.12313167666782075	0.638970854726131	0.12313167666782075	OK	0.03249197763801292	0.5975981683756575
AAA_gastritis_duodenitis	AAA	gastritis_duodenitis	0.1197921476005593	-0.02837229100907861	0.09141985659148069	0.7631539998457617	0.1481644386096379	OK	0.0474856727269361	0.7615014355965459
AAA_glaucoma	AAA	glaucoma	0.007908021552155371	0.031736024953295146	-0.023828003401139775	nan	-0.023828003401139775	PROPORTIONAL_ATTENUATION_UNSTABLE	0.8949195453785903	0.6285898677191673
AAA_GORD	AAA	GORD	0.19605163708317108	0.07077248162871351	0.12527915545445756	0.6390110142324918	0.12527915545445756	OK	3.4047766243797885e-07	0.18594084460810464
AAA_gout	AAA	gout	0.17554071657615813	0.071980027641026	0.10356068893513214	0.5899525247192576	0.10356068893513214	OK	0.0004444720465896359	0.39751617616704354
AAA_HF	AAA	HF	0.29342127366891246	0.19155869088595165	0.10186258278296081	0.3471547291349414	0.10186258278296081	OK	6.812348247764974e-08	0.03117599742841951
AAA_hypertension	AAA	hypertension	0.30710779409146016	0.3691986027100228	-0.06209080861856264	-0.20217920161307035	-0.06209080861856264	ENHANCED	1.799030123556293e-07	2.0675740246381353e-13
AAA_hyperthyroid	AAA	hyperthyroid	0.2750396929090442	0.2735557058234283	0.0014839870856158677	0.005395537894621771	0.0014839870856158677	OK	0.00015337521361126485	0.0008509711827306643
AAA_hypothyroid	AAA	hypothyroid	0.0571179327626086	0.005726887173630099	0.0513910455889785	nan	0.0513910455889785	PROPORTIONAL_ATTENUATION_UNSTABLE	0.5113059844088623	0.9632740241645126
AAA_IBS	AAA	IBS	0.056394050549958295	0.0404799723887356	0.015914078161222693	nan	0.015914078161222693	PROPORTIONAL_ATTENUATION_UNSTABLE	0.25694522086935256	0.5017980469849049
AAA_IDA	AAA	IDA	0.1313619721814539	0.0027655504609600218	0.12859642172049388	nan	0.12859642172049388	PROPORTIONAL_ATTENUATION_UNSTABLE	0.2804793498921229	0.989812261336464
AAA_insomnia	AAA	insomnia	0.2915691347569911	0.2555049731383382	0.03606416161865289	0.12368991542506935	0.03606416161865289	OK	0.004466314688140902	0.07734467762308381
AAA_intervert_disc	AAA	intervert_disc	0.17011943360769388	0.05376907890450486	0.11635035470318902	0.683933353384542	0.11635035470318902	OK	0.0005808317266676043	0.40633601838483624
AAA_isch_stroke_tia	AAA	isch_stroke_tia	0.2840297219800206	0.22800355529878033	0.05602616668124025	0.19725459114163157	0.05602616668124025	OK	0.0009035782214755676	0.04197299141248092
AAA_migraine	AAA	migraine	0.2536168303063142	0.22816308990119377	0.02545374040512044	0.10036297817608486	0.02545374040512044	OK	9.851710767717498e-08	3.1492198185390126e-05
AAA_OA	AAA	OA	0.2619573036539439	0.1553165317991617	0.10664077185478218	0.407092187800417	0.10664077185478218	OK	1.0918618391686389e-07	0.009610552627115817
AAA_osteoporosis	AAA	osteoporosis	0.031851323392206775	0.07187188843429484	-0.04002056504208807	nan	-0.04002056504208807	PROPORTIONAL_ATTENUATION_UNSTABLE	0.6698803964432755	0.3453533345906729
AAA_periph_neuro	AAA	periph_neuro	0.26923413042095584	0.1415318328500511	0.12770229757090473	0.4743168979773785	0.12770229757090473	OK	0.0004895231754107637	0.24781172576655655
AAA_peripheral_arterial	AAA	peripheral_arterial	0.4629748488149627	0.37057731317250353	0.09239753564245917	0.1995735532480032	0.09239753564245917	OK	1.3397767985194573e-06	0.009625460004867222
AAA_PMR	AAA	PMR	0.12365779739407692	0.10081584988221307	0.022841947511863858	nan	0.022841947511863858	PROPORTIONAL_ATTENUATION_UNSTABLE	0.2514656300067666	0.43402757601094605
AAA_pri_bladder	AAA	pri_bladder	0.017928288092982116	-0.027658794833848484	-0.009730506740866368	nan	0.0455870829268306	PROPORTIONAL_ATTENUATION_UNSTABLE	0.9120272315032569	0.883299220676012
AAA_pri_breast	AAA	pri_breast	-0.03983238851932375	-0.037994387664941266	0.0018380008543824808	nan	-0.0018380008543824808	PROPORTIONAL_ATTENUATION_UNSTABLE	0.3882860712694405	0.48608238296396156
AAA_pri_colorectal	AAA	pri_colorectal	-0.06712204206165526	-0.09114354745802354	-0.024021505396368284	nan	0.024021505396368284	PROPORTIONAL_ATTENUATION_UNSTABLE	0.432324614025921	0.3575499276773048
AAA_pri_prost	AAA	pri_prost	0.0039973178953299285	0.021319965561909734	-0.017322647666579805	nan	-0.017322647666579805	PROPORTIONAL_ATTENUATION_UNSTABLE	0.9579030060535716	0.8088349757722458
AAA_pri_skin	AAA	pri_skin	-0.08843116255338204	-0.06716981223974165	0.02126135031364039	nan	-0.02126135031364039	PROPORTIONAL_ATTENUATION_UNSTABLE	0.07516132760374276	0.28704758483279874
AAA_psoriasis	AAA	psoriasis	0.13109426069704322	0.051765191860092874	0.07932906883695034	0.6051299913142543	0.07932906883695034	OK	0.052108450126918456	0.5628221834809777
AAA_RA	AAA	RA	0.2704702050840726	0.19786037670613113	0.07260982837794147	0.2684577709968886	0.07260982837794147	OK	0.00013412211465399046	0.01514844365638541
AAA_raynauds	AAA	raynauds	-0.03444173645282694	-0.021228994141062038	0.013212742311764905	nan	-0.013212742311764905	PROPORTIONAL_ATTENUATION_UNSTABLE	0.7700627480672407	0.8901087114234516
AAA_retinal_detach	AAA	retinal_detach	0.08046461998008324	0.12986532717614155	-0.04940070719605831	nan	-0.04940070719605831	PROPORTIONAL_ATTENUATION_UNSTABLE	0.2988256264482341	0.1436800348887084
AAA_schizo	AAA	schizo	0.03253033595851277	0.025339377340437372	0.007190958618075397	nan	0.007190958618075397	PROPORTIONAL_ATTENUATION_UNSTABLE	0.44355436681554206	0.6485070851837084
AAA_scoliosis	AAA	scoliosis	0.11504661943645285	0.11848370959380775	-0.0034370901573548968	nan	-0.0034370901573548968	PROPORTIONAL_ATTENUATION_UNSTABLE	0.1479204153824364	0.22530376550417877
AAA_sinusitis	AAA	sinusitis	0.17993514299112137	0.15783141345427254	0.022103729536848832	0.12284275972670611	0.022103729536848832	OK	0.05697931725170403	0.16960770116692248
AAA_sleep_apnoea	AAA	sleep_apnoea	0.3048542086570067	0.18466614107077955	0.12018806758622713	0.3942476901194809	0.12018806758622713	OK	2.1730450326898457e-07	0.0038219205450783396
AAA_spondylolisthesis	AAA	spondylolisthesis	0.3229922636455038	0.25640642937300523	0.06658583427249859	0.20615303141000008	0.06658583427249859	OK	0.0010570129019516696	0.02925432735195646
AAA_spondylosis	AAA	spondylosis	0.26785049438755476	0.12794738185626686	0.1399031125312879	0.5223179178786995	0.1399031125312879	OK	0.00047883712642528704	0.20741198444833503
AAA_stroke_all	AAA	stroke_all	0.3515922212051168	0.3030050662959576	0.048587154909159214	0.13819178007585597	0.048587154909159214	OK	5.822699765316792e-05	0.00134060485673968
AAA_tendon	AAA	tendon	0.1729018959463464	0.055182351099406626	0.11771954484693976	0.6808458877944843	0.11771954484693976	OK	0.01775421651806356	0.5847031448998509
AAA_thromboembolic	AAA	thromboembolic	0.2898008786847804	0.23486293572236264	0.054937942962417746	0.1895713470978615	0.054937942962417746	OK	4.4536959854871334e-05	0.00411269179716038
AAA_TIA	AAA	TIA	0.4685103377380105	0.43151532163945056	0.03699501609855993	0.07896307321023821	0.03699501609855993	OK	1.3350748629417762e-09	2.3146624106685524e-07
