disease	exposure	rg	rg.SE	rg.Z	p	gcov	intercept_d	p_bh
hypertension	SBP	0.7205085806318998	0.015260701860022924	47.21333181400724	0.0	0.07596387946083906	0.19544539581845233	0.0
diabetes_type_2	BMI	0.5379090091497978	0.018981974970224972	28.33788422930486	1.1804582626594883e-176	0.08940466076352227	0.04746955149621283	2.51437609946471e-174
COPD	SMK	0.6173736518052847	0.022474970691951018	27.469386290518514	4.07695112609539e-166	0.049303848058108675	0.04470985926306376	5.7892705990554534e-164
OA	BMI	0.43547348593511315	0.01774637904223999	24.538723358641093	5.7067385880215265e-133	0.0392737100953859	0.04493529807057022	6.077676596242926e-131
sleep_apnoea	BMI	0.5476490365797119	0.022578579045627243	24.255248103656648	5.8206668860912875e-130	0.07815482727986012	0.05986596483699483	4.959208186949776e-128
hypertension	BMI	0.3875193169164756	0.017396694285991412	22.275457080861813	6.39223533360632e-110	0.052698165838146356	0.1423989126467765	4.538487086860487e-108
HF	BMI	0.5442697820076708	0.02569446819755623	21.182371934027252	1.3886148537140619e-99	0.05011475872689089	0.026633171878790544	8.450713252602719e-98
carpal_tunnel	BMI	0.34928931432141025	0.020396597672705616	17.12488131237806	9.680669056101558e-66	0.058774410592775876	0.030823970739115723	5.1549562723740795e-64
coronary_heart	SBP	0.33347297595767567	0.01953129952525222	17.0737730751876	2.326654025744456e-65	0.03146148252771882	0.014093092512930136	1.1012829055190425e-63
coronary_heart	BMI	0.2867337609788251	0.017085031889434315	16.782746607347352	3.2638480858164616e-63	0.03489245561777753	0.0140301318395694	1.3903992845578127e-61
gout	BMI	0.4064194990649044	0.026555962432728564	15.304265476894098	7.160582000841166e-53	0.04765096025451592	0.07094589345560541	2.7730981203257605e-51
GORD	BMI	0.28076247901162626	0.018547371179061856	15.137588842163211	9.150761746381423e-52	0.03321528356382141	0.0586746673428297	3.248520419965405e-50
diabetes_type_2	SBP	0.26741144219462964	0.017974735843608862	14.877072159572853	4.643812865083399e-50	0.03445856301098145	0.007102368737755747	1.521741754250406e-48
diabetes_type_2	FG	0.6154192025056582	0.044166234824196834	13.934155921493577	3.9281687392763083e-44	0.064430251279677	0.02317887748035834	1.1952856306655052e-42
COPD	BMI	0.31267547706619225	0.023438943031042627	13.339999020095899	1.3546131707636662e-40	0.04952606769983307	0.003957846455713264	3.847101404968812e-39
depression	SMK	0.31365750844106566	0.024311047381272242	12.901850896094604	4.394146252367706e-38	0.018887605450703608	0.03718864464709434	1.1699414396929017e-36
cholelithiasis	BMI	0.3843593266711105	0.030129806858346146	12.756780303244478	2.8577055056921146e-37	0.050663072870106594	0.07140434680683613	7.161073796616711e-36
asthma	BMI	0.2483482902243319	0.019601869872571797	12.669622430859869	8.713277521865797e-37	0.03860260973613293	0.021490856590075727	2.0621423468415722e-35
coronary_heart	SMK	0.2322319454243909	0.01851134988356518	12.545381448954839	4.213803470032772e-36	0.014248441497718105	0.022412906002013563	9.447790938073478e-35
GORD	SMK	0.28138580758447085	0.02274743620279937	12.370000956408557	3.7981688356105705e-35	0.016783934834769327	0.035109176401952893	8.090099619850516e-34
spondylosis	BMI	0.39591132463676365	0.03207491074874602	12.343333633507989	5.291856078416744e-35	0.04702225212345108	0.024385274944516293	1.0734908044788252e-33
intervert_disc	SMK	0.29771194116954225	0.024749693464975422	12.028914280932403	2.504323101876932e-33	0.019910078731553423	0.01055458380748367	4.849280188179877e-32
HF	SBP	0.3775487187095997	0.031449060909023704	12.005087204409	3.341115392339609e-33	0.0269519539860932	-0.0010179753773905504	6.18832677015945e-32
AF	BMI	0.22045048349164093	0.018582595640768324	11.863277216665846	1.8364371320094033e-32	0.02740006458303839	0.027300549740058595	3.2596759093166904e-31
OA	SMK	0.22639672381243664	0.01926434808468076	11.75210927549996	6.88777971442981e-32	0.0102944476568134	0.001482845107502568	1.1736776633388395e-30
intervert_disc	BMI	0.2460214800952335	0.02128257288596776	11.559762130895502	6.589105624866559e-31	0.03263300369486887	0.01754354665927599	1.0795996139204439e-29
ulcer_peptic	SMK	0.4323730090974662	0.0374447125532068	11.54697097709293	7.6468182620798385e-31	0.022924735040032666	0.012936096278875677	1.2064979924614857e-29
alc_problems	SMK	0.5062081362243317	0.04525787991305765	11.184972367171849	4.8305589704335267e-29	0.03334852653271101	0.0329715831534111	7.3493504335881505e-28
gastritis_duodenitis	SMK	0.3285732918316287	0.029773750830943694	11.035670100729945	2.5712757601635094e-28	0.016386820280035585	0.03659431134463276	3.77711542699881e-27
gastritis_duodenitis	BMI	0.2707629085810582	0.02482294366981331	10.9077679175628	1.0582275338520872e-27	0.026782980361918608	0.022151723301557843	1.5026830980699637e-26
thromboembolic	BMI	0.3229603897550597	0.030462150774081164	10.602021904174007	2.9160653871325496e-26	0.04167083119943488	0.02659165427354827	4.0072382416724717e-25
HF	SMK	0.2858838654274537	0.027119205963192023	10.541749113726787	5.545771738087846e-26	0.013271920337916639	0.0075157989628987665	7.382808626329444e-25
spondylosis	SMK	0.3484560160494184	0.03307657370320879	10.534828037996402	5.969227423324808e-26	0.0208663346374015	0.020960741227264428	7.705729946473842e-25
enthesopathy_shoulder	SMK	0.27457844834906164	0.02631253125131141	10.435273053989313	1.7112106441002023e-25	0.015589564795239815	0.0026878411190675985	2.1440462776079005e-24
enthesopathy_upper	SMK	0.30593749386751734	0.029688683824079805	10.304852033197191	6.699469620089175e-25	0.014821258872040747	0.007644460092722573	8.15421159473711e-24
tendon	SMK	0.2867073391052067	0.0282899233706953	10.134609958053064	3.879185813649709e-24	0.012735146262140448	0.007270284749090443	4.590369879485489e-23
RA	SMK	0.2819012758091804	0.028173752144927976	10.005812302140598	1.4370742387075237e-23	0.02285964219863103	0.0069418413792257565	1.6545773667281217e-22
urine_incont	BMI	0.3066144711438527	0.030732326708837864	9.976936469820812	1.9231287163262515e-23	0.04139347578815419	0.041124453379342604	2.1559285083025876e-22
gout	SBP	0.22996071471124488	0.023323214569481523	9.859734987481056	6.221337719910051e-23	0.020903384313548497	0.01643874585355116	6.7956150479017485e-22
anxiety	SMK	0.27084576714009967	0.027579540666122435	9.820532198811977	9.185730675276332e-23	0.014719351472261567	0.01853178824705413	9.782803169169295e-22
asthma	SMK	0.22559081655264226	0.023064021440894214	9.78107036237198	1.3576705594468613e-22	0.017679484911392103	0.006650352277518501	1.4106528251813728e-21
carpal_tunnel	SMK	0.19356455674898793	0.019990053750470325	9.683043335710577	3.559590117818122e-22	0.01642182879380412	0.00401610600471402	3.610441405215524e-21
CKD	BMI	0.27313273747185474	0.02865970223941168	9.530201506987519	1.5697822577241271e-21	0.027400131061761538	0.07205424651977103	1.5551796320708795e-20
carpal_tunnel	SLEEP	-0.21127263479103137	0.02307425691057626	-9.1562053594971	5.3754308239967834e-20	-0.02031932775562317	-0.012152750911227164	5.2043943886877945e-19
periph_neuro	BMI	0.4247928459347808	0.04696246401180893	9.045369634522682	1.4915965880719368e-19	0.04726614698711201	0.04862884783543839	1.4120447700414336e-18
peripheral_arterial	BMI	0.4376765290503496	0.048494550023450114	9.025272506677677	1.7924868263527104e-19	0.0732949542130108	-0.00731601693127797	1.6599986696222926e-18
IDA	BMI	0.3560982896999124	0.040119071423135214	8.876035188954136	6.928593152692141e-19	0.03687282382612517	0.0102607685646851	6.2799589000996854e-18
enthesopathy_shoulder	BMI	0.23779120583377725	0.02681825000782044	8.86676818078865	7.529944933252763e-19	0.02677753738949022	0.01731425855017613	6.6828261282618275e-18
peripheral_arterial	SMK	0.4631050832977676	0.05319032980605617	8.70656536604214	3.1322135971459834e-18	0.039101468491298384	0.03158643133966881	2.7231081477228346e-17
hypertension	SMK	0.15336627157586435	0.01809258696353204	8.47674640917819	2.3157896057587824e-17	0.010515373504878783	0.03287858906048976	1.9730527441064824e-16
diabetes_type_2	SMK	0.15266330218029006	0.01812976690257679	8.420588251390699	3.745986188817368e-17	0.012793185389224573	0.018450880588716814	3.1290002283062715e-16
diverticuli	BMI	0.15282281089427682	0.018600560957825425	8.21603236809817	2.103467069768076e-16	0.021291670639437113	0.04207983178536571	1.7232249456176932e-15
tendon	BMI	0.2540522548135799	0.0312342086754364	8.133782336332244	4.160993815751885e-16	0.022381824246724864	0.022373870392983906	3.3444969160571754e-15
sleep_apnoea	SMK	0.19836244629967653	0.02440706425268691	8.12725546366517	4.39119296802088e-16	0.01427268348787045	-0.0011904911512241234	3.4641633414386942e-15
enthesopathy_lower	BMI	0.33317242094276756	0.041796214813646954	7.971353923513257	1.569453295417448e-15	0.028710876045868187	0.024539756714806828	1.2156129160869688e-14
peripheral_arterial	SBP	0.4127002919990113	0.051793978876780035	7.968113300985081	1.611151201844658e-15	0.053582309819082435	0.0046185338589258915	1.2256257356889722e-14
AAA	SMK	0.28968972522241176	0.036383193799846884	7.962185145594088	1.6902730069803564e-15	0.030304647140023143	0.013574102918634482	1.2632566683747926e-14
AF	SBP	0.20996513029055114	0.026974396295712525	7.783867634654877	7.03403519836247e-15	0.02023268599216209	0.005359823454819696	5.166377576728297e-14
urine_incont	SMK	0.26560579852079136	0.03494355514730168	7.600995302314032	2.938617793743971e-14	0.01807879577986415	0.004220130976284813	2.121781661245647e-13
diverticuli	SMK	0.14683327441805932	0.01944614620349035	7.550764705847193	4.32709970277307e-14	0.010314275785447297	0.02637844271982045	3.0722407889688796e-13
enthesopathy_upper	SLEEP	-0.29188774229531794	0.039507638927800855	-7.388134300526916	1.4890330700011167e-13	-0.01603018926258707	-0.015713572337653314	1.0398821111811078e-12
ED	BMI	0.3514950959677941	0.04766913447978348	7.373641241941648	1.6602960919905115e-13	0.03591310267169353	0.030090825142242157	1.1407840890128354e-12
ulcer_peptic	BMI	0.29840650417962566	0.041113464470013114	7.25812110524702	3.925040682253035e-13	0.03138060662844516	0.022407930128284702	2.6540751279996715e-12
b12_def	BMI	0.3110488458532795	0.04287329729359212	7.255071699366803	4.0144912338616105e-13	0.05728631570057839	0.0038555737567790853	2.6721457275391343e-12
OA	SLEEP	-0.21636263615653548	0.030434877572607044	-7.109035863225321	1.1685638242804114e-12	-0.011152842794077609	-0.008395354050691715	7.658587525283927e-12
osteoporosis	BMI	-0.17955727244368624	0.02527271362530136	-7.104787998069406	1.2050737781115944e-12	-0.027816002023738108	-0.055282572148661835	7.778203476902109e-12
CKD	SBP	0.24197965714513825	0.034560137638155665	7.001698305679888	2.5287817060030176e-12	0.018820171410279703	0.014708101513559604	1.6078522488914708e-11
psoriasis	SMK	0.2037427233670427	0.02915481317694292	6.988304885732301	2.782272588174888e-12	0.014655039776132868	0.0160743128959963	1.7430119449448562e-11
enthesopathy_upper	BMI	0.21523672446794948	0.03110821388464443	6.918967616273018	4.549468368856034e-12	0.02068121562028353	0.023712687533099918	2.808802210337204e-11
periph_neuro	SMK	0.32862483766152406	0.047723496043332245	6.886017683263134	5.737586186659073e-12	0.018435974189972764	0.020178668930285047	3.491731022166807e-11
valve_nonrheumatic	SBP	0.295164043301544	0.04303607245484346	6.8585264980035365	6.957442788465383e-12	0.024217253260779732	0.019504640847360605	4.1744656730792295e-11
fibromyalgia	BMI	0.282187207812268	0.041283517051452945	6.835348050907805	8.180616770097796e-12	0.053520743467855104	0.029754507067688167	4.840198255641196e-11
cholelithiasis	SMK	0.1598819929620931	0.023418773696146217	6.827086466461871	8.665647088426443e-12	0.010625426135255037	0.007616317247659639	5.0569392598214587e-11
schizo	BMI	-0.11093611769160479	0.016502608161167588	-6.722338469663808	1.788309412844547e-11	-0.028646632412305334	0.007833408604376988	1.0294862295564555e-10
insomnia	SMK	0.3638971203417925	0.05565960779774149	6.537903063638878	6.23873365356365e-11	0.019872637992120003	0.0062203864466214695	3.543600715224154e-10
tendon	SLEEP	-0.2888184080749049	0.04462084163504885	-6.472724347898525	9.625145333982018e-11	-0.014543214226113991	-0.011354496410003358	5.395147252995184e-10
enthesopathy_lower	SMK	0.29327780347407983	0.046088269156758364	6.363393740749184	1.9734393463053457e-10	0.012742343087983367	-0.003877083339439	1.0778014891359966e-09
schizo	SLEEP	0.12862277781919773	0.020207332377613574	6.365153767732884	1.9509418594599306e-10	0.018983732295651135	0.00218668175329055	1.0793522495193902e-09
insomnia	SLEEP	-0.4082303591681722	0.06425255633911627	-6.353527119039246	2.1043306854388643e-10	-0.025272756096115307	-0.05383227440696208	1.1347403442999446e-09
stroke_all	BMI	0.25919850093489516	0.041140520636947085	6.300321360107355	2.9702916509422033e-10	0.02379030045509151	3.0289353135835916e-5	1.5816803041267232e-09
RA	BMI	0.17577877193879254	0.028091883859234185	6.257279605013448	3.917506968118475e-10	0.02827132175898653	0.01757306904473242	2.0603184795289757e-09
AF	SMK	0.11135718497224315	0.01783347425764327	6.244278785134447	4.257600215417769e-10	0.006978329537943301	0.008696504847162513	2.2118752338633773e-09
deaf	SMK	0.14953777219758407	0.024141062960976387	6.194332554424356	5.853252826682372e-10	0.008770856777668758	0.010300058308598852	3.004199643574326e-09
fibromyalgia	SMK	0.35474681533318225	0.0574635380634088	6.173424527771555	6.682645746310504e-10	0.03392313810685014	0.001467358406906232	3.3890560570574697e-09
psoriasis	BMI	0.17688340524311763	0.029011619234350527	6.096984929185993	1.0808770534704081e-09	0.025234766194193518	0.0228884615944159	5.417101467981105e-09
hypothyroid	BMI	0.1518534071686699	0.02493023244140086	6.0911348309970705	1.1211307383623617e-09	0.022974828085830432	0.04475036703217823	5.553508076074024e-09
IDA	SMK	0.2366717993847323	0.03897409404770522	6.072541393650878	1.2590163042857449e-09	0.012355938073010934	0.00507077388234684	6.16483845546813e-09
ED	SMK	0.30683735844651844	0.05091761801555933	6.026153037103101	1.6790820338797016e-09	0.01580645910192406	0.01437532456288462	8.128283482190372e-09
isch_stroke_tia	BMI	0.23639848025980081	0.040366735422668595	5.856269470011375	4.733799092653819e-09	0.023358295205871037	0.01963064574703399	2.265840914011828e-08
TIA	SMK	0.22384207943311885	0.03832832286971812	5.840121943085819	5.216262731464806e-09	0.010304383741523796	1.9137676267760113e-4	2.469031026226675e-08
stroke_all	SBP	0.29086990912893396	0.04989327885711141	5.829841529596638	5.548003735445296e-09	0.02069817580828277	0.017967540284438897	2.597197353076589e-08
schizo	SMK	0.1282394364771025	0.022009847194634044	5.826457373514479	5.661631941166986e-09	0.01669609521185553	0.008958066821910748	2.6215817466708003e-08
isch_stroke_tia	SBP	0.31587928508690716	0.05467704566478588	5.77718275093904	7.596176627880601e-09	0.02419822127943511	0.023682754188707435	3.479538971480792e-08
stroke_all	SMK	0.2055261278094632	0.03569467103749997	5.757893877031178	8.516986844459744e-09	0.009511021889604442	0.009944239191985425	3.859825952914735e-08
valve_nonrheumatic	BMI	0.182297308863906	0.0316897813195293	5.752558120417277	8.790303255026053e-09	0.01929193790501286	0.014085536117128717	3.9417570385695775e-08
gastritis_duodenitis	SLEEP	-0.1730050862121095	0.03132634264068442	-5.522671069409259	3.338844502457115e-08	-0.009781190280661236	-0.015466533988199277	1.4816122479653448e-07
hypertension	FG	0.24318083457267892	0.04478977091711242	5.42938330769111	5.654911330496275e-08	0.02083046327874514	-8.625209808505374e-5	2.4834971410220754e-07
cataract	SMK	0.12811944864265182	0.023613803280135518	5.425616836167551	5.7754735935008735e-08	0.006047499632785733	0.010317990226431555	2.5105630110524205e-07
thromboembolic	SMK	0.15818528144943378	0.029261594898460395	5.40590087445154	6.448345349334259e-08	0.010290623144779057	0.008226332716816312	2.7747425442589837e-07
bursitis	SMK	0.30181043984928596	0.057198228983710755	5.276569663288654	1.3162449019305585e-07	0.014201057638237074	-0.004883487751529702	5.60720328222418e-07
GORD	SLEEP	-0.1339516544800206	0.025476488278353637	-5.257853948176759	1.457461946264574e-07	-0.009057536282053741	-0.008940703595372183	6.147314743650579e-07
AAA	BMI	0.2490857324351354	0.04751358278525553	5.24241107139645	1.584917843721566e-07	0.05168116464129046	-0.002027757876657567	6.55509710121735e-07
enthesopathy_shoulder	SLEEP	-0.2076100014133214	0.03959400990534482	-5.243469956936491	1.5758447808836169e-07	-0.013362453928716331	-0.004033653453146786	6.581469378984518e-07
bursitis	SLEEP	-0.30456923445002954	0.058147774532991026	-5.237848514343873	1.6245932040505066e-07	-0.01624586604882229	-0.004138401618448682	6.654583701206882e-07
depression	BMI	0.09990944440170492	0.019102233907669137	5.230249241246775	1.692816533459671e-07	0.011932599320591382	0.027995699499083575	6.867998507179235e-07
spondylosis	SLEEP	-0.23629642892628427	0.04545792530373149	-5.198134920312509	2.0129800543120126e-07	-0.016040790392025554	-0.026300045183481738	8.089900972989787e-07
isch_stroke_tia	SMK	0.2344781546958725	0.04625863731643852	5.068851317255471	4.0022370612745947e-07	0.011681310012484139	0.013226810479524493	1.593414007572876e-06
cataract	BMI	0.10557976872389652	0.021062112405179963	5.012781562115797	5.364878868687284e-07	0.009884365501090463	0.028295306447578116	2.1161466648710953e-06
pri_skin	BMI	-0.10643927577435354	0.02141300200300842	-4.970777836727393	6.668482623703489e-07	-0.014465520859750013	-0.010534512163745197	2.606214309814391e-06
migraine	SMK	0.12647379842233467	0.025547104122466552	4.950611929087943	7.398049374082383e-07	0.007478310665213974	4.40422331360597e-4	2.8650627575991773e-06
AAA	ApoB	0.22852937695385242	0.046589970253371304	4.905119615038084	9.337042158122528e-07	0.03247733276774723	0.0018999034150239476	3.58340536879297e-06
gout	SMK	0.11284582652436194	0.023159285240030497	4.87259539121309	1.1014164546492714e-06	0.006670760096762998	0.017023527874337092	4.189316157862407e-06
HF	SLEEP	-0.1432987642445927	0.02954112872691993	-4.850822240722606	1.2295070208310572e-06	-0.007541486716878563	0.0019585804984092194	4.5944736041581616e-06
periph_neuro	FG	0.4101619275470815	0.08454556150001764	4.851371500406865	1.2261063757998866e-06	0.02874721605462044	-0.005046345167764696	4.622312531776564e-06
fibromyalgia	SLEEP	-0.2214715955812915	0.04586121966384785	-4.82916933314524	1.3710378239738185e-06	-0.024008551247505117	-0.007539546266854502	5.078800982720406e-06
hypothyroid	SMK	0.10508849601992527	0.021841362405399623	4.811444179596841	1.4984358675511458e-06	0.008016330350281767	0.012041021653624742	5.50287654807576e-06
intervert_disc	SLEEP	-0.13636331656568298	0.028554542195829567	-4.775538533606714	1.7922696625659684e-06	-0.010338194124556053	-0.013364306897634416	6.525699797035065e-06
bursitis	BMI	0.19449278694788458	0.04140606200928188	4.69720561458575	2.6374491559488404e-06	0.01815086102791112	0.018644309299988934	9.521638478255982e-06
urolithiasis	BMI	0.12534912233508524	0.026766336581228845	4.68308847401225	2.8258446815703444e-06	0.02096466324126456	0.03020849708076808	1.0116049028142578e-05
TIA	BMI	0.18664689902721612	0.04005732305922225	4.659495062894501	3.169859987551438e-06	0.01704152167359704	0.002064664269408778	1.1253002955807605e-05
periph_neuro	SLEEP	-0.24823754084058977	0.053576463372294165	-4.633331974819377	3.598268244840934e-06	-0.01578714404819188	-0.014201871268343498	1.2668283242167255e-05
carpal_tunnel	FG	0.20013915351817033	0.04366596591962479	4.583412946516816	4.574473780979372e-06	0.021213019053056732	-0.005934107826258964	1.5973162546698463e-05
gout	FG	0.20150175619348418	0.04459620518262914	4.518361043687457	6.232015184585958e-06	0.014881386513446965	0.029990249199798712	2.158405259051722e-05
AF	ApoB	-0.09753228790675082	0.02190270597370114	-4.4529789161147075	8.468707323581492e-06	-0.008303167946136726	-0.03526173577409983	2.9094107418110607e-05
depression	SLEEP	-0.10560915399285399	0.024091485705524284	-4.383671280540301	1.166958188046843e-05	-0.007209301390030862	-0.014029547793483008	3.9769935048636404e-05
TIA	SBP	0.21928707708734932	0.05146042513765818	4.261276048550897	2.0326297598473816e-05	0.015522671470315353	0.00898264872721758	6.872224426150672e-05
spondylolisthesis	SMK	0.22163855277856695	0.052742684175613466	4.2022615314873475	2.6426157206992552e-05	0.023656596092972028	0.006973431101927232	8.864207063132934e-05
b12_def	SMK	0.22106391708782694	0.0531784923176599	4.157017385286315	3.2242946273756266e-05	0.020527348646861922	0.007898093688631548	0.00010730855556734507
spondylolisthesis	BMI	0.2000938479086509	0.049222346886841566	4.065101738619888	4.8011513808431306e-05	0.042359223027057566	0.024332067501548385	0.00015854965025109872
